species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,37530,31771,27329,24378,30562,28541,32055
Bacillus velezensis,259,NA,NA,NA,176,NA,384
Bacillus halotolerans,88,85,42,57,51,49,54
Bacillus subtilis,2461,2895,8899,1806,2462,2669,1808
Bacillus inaquosorum,117,115,93,65,94,75,93
Bacillus vallismortis,86,78,82,38,60,68,63
Bacillus atrophaeus,13,6,12,11,13,8,9
Bacillus tequilensis,15,19,22,10,6,NA,18
Bacillus stercoris,46,48,NA,NA,NA,66,73
Bacillus rugosus,48,29,33,25,26,44,41
Bacillus cabrialesii,28,13,23,15,22,10,19
Staphylococcus aureus,21901,16865,22313,20554,31824,32043,32814
Staphylococcus argenteus,20,11,22,22,24,22,24
Staphylococcus schweitzeri,15,NA,11,11,17,18,19
Listeria monocytogenes,20914,16978,20915,22045,32162,31365,32811
Listeria innocua,128,44,217,321,138,421,312
Listeria swaminathanii,21,12,34,25,36,20,21
Listeria welshimeri,18,10,18,10,17,15,21
Listeria seeligeri,17,15,25,19,19,17,8
Listeria ivanovii,5,10,13,14,16,24,27
Paenibacillus sp. FSL W8-0194,9,10,7,7,NA,NA,8
Enterococcus faecalis,30679,24892,31122,26337,31160,31519,32776
Candidatus Enterococcus dunnyi,5,NA,NA,NA,NA,5,NA
Limosilactobacillus fermentum,15030,11473,13640,16485,23518,21402,25353
Lactiplantibacillus plantarum,5,NA,NA,NA,NA,NA,NA
Actinomyces oris,27,19,22,10,23,14,15
Salmonella enterica,51596,40973,41590,31842,37682,35649,41462
Salmonella bongori,27,770,18,6,9,882,9
Escherichia coli,30574,34310,28585,19017,25137,19842,25518
Escherichia sp. E4742,27,15,19,7,8,NA,NA
Escherichia albertii,32,54,21,20,17,12,19
Escherichia fergusonii,26,27,24,94,15,20,16
Escherichia marmotae,16,10,10,6,NA,12,NA
Shigella flexneri,2938,2416,960,1237,975,2086,354
Shigella dysenteriae,192,111,142,170,53,71,86
Shigella boydii,204,132,NA,117,197,172,260
Klebsiella pneumoniae,64,48,46,NA,NA,46,42
Enterobacter asburiae,13,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,19261,18084,13937,13148,23013,20203,25452
Pseudomonas sp. CIP-10,526,180,408,428,230,188,272
Neptuniibacter halophilus,21,47,18,41,101,37,45
Burkholderia multivorans,21,20,17,15,17,12,13
Homo sapiens,56,45,53,37,77,55,64
