species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,28517,21487,23253,16252,21723,19360,20672
Bacillus velezensis,106,NA,53,NA,122,24,178
Bacillus amyloliquefaciens,43,15,14,12,NA,39,278
Bacillus siamensis,5,NA,NA,NA,NA,NA,NA
Bacillus subtilis,1463,1321,1208,857,1567,1395,961
Bacillus inaquosorum,90,69,77,45,65,51,55
Bacillus halotolerans,51,41,46,34,43,32,32
Bacillus mojavensis,3,4,NA,3,NA,11,4
Bacillus vallismortis,62,49,57,29,53,47,38
Bacillus tequilensis,14,12,20,7,3,3,13
Bacillus atrophaeus,12,3,10,5,12,7,4
Bacillus stercoris,36,37,7,6,6,33,32
Bacillus paralicheniformis,3,NA,NA,NA,4,NA,NA
Bacillus sp. FSL R5-0560,10,NA,5,NA,NA,NA,NA
Bacillus sp. FSL R5-0523,11,7,19,NA,NA,6,NA
Bacillus sp. FSL K6-1003,5,NA,NA,NA,NA,5,5
Bacillus sp. PS196,20,26,NA,NA,NA,22,NA
Bacillus sp. HNA3,344,NA,415,NA,NA,NA,765
Bacillus sp. FSL K6-1012,10,NA,23,10,10,NA,NA
Bacillus cereus,45,83,50,71,49,77,55
Bacillus thuringiensis,5,NA,NA,784,NA,NA,NA
Bacillus rugosus,35,20,23,14,19,32,17
Bacillus cabrialesii,15,9,19,7,17,8,12
Bacillus pumilus,3,4,4,2,4,NA,NA
Bacillus glycinifermentans,2,NA,NA,NA,NA,NA,NA
Lysinibacillus sphaericus,2,NA,NA,NA,NA,NA,NA
Priestia koreensis,1,NA,NA,NA,NA,NA,NA
Priestia megaterium,1,NA,1,2,NA,NA,NA
Rossellomorea marisflavi,1,NA,1,NA,NA,NA,NA
Amphibacillus xylanus,1,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,16673,11222,15977,13386,23091,22143,21045
Staphylococcus sp. MZ8,136,187,NA,NA,NA,NA,153
Staphylococcus argenteus,17,8,18,13,19,19,19
Staphylococcus schweitzeri,14,3,5,9,11,10,16
Staphylococcus agnetis,2,1,NA,1,1,2,1
Staphylococcus capitis,2,NA,2,1,3,5,1
Staphylococcus warneri,2,1,NA,3,NA,1,3
Staphylococcus simiae,2,2,4,NA,5,5,NA
Staphylococcus epidermidis,2,4,6,7,5,8,3
Staphylococcus shinii,1,NA,NA,NA,NA,NA,NA
