Sample	BP	Sh	F	Si	ISi
A01_S1	0.8365807310366569	0.9772252551490167	5.449430524895625	0.29833625076009196	1.4251840729740861
A02_S2	0.7502051857834158	1.1015430912800817	2.7464136847921594	0.4247059143166242	1.7382414053711814
A03_S3	0.9157926852522787	0.4620002883886763	1.9666126989750294	0.1599189232764695	1.1903612969121773
A04_S4	0.7502223064476159	1.0739253804556081	2.071939466109172	0.4260362028299711	1.7422701656978616
A05_S5	0.8599015312921424	0.81313988723221	4.081516961268019	0.258892222571245	1.3493314069236484
A06_S6	0.7367588448096143	1.0931924389104166	1.1652976470261924	0.44546423142431935	1.803310186047132
A07_S7	0.8727966521794266	0.6248282556206232	2.6979518046325004	0.23334850327432266	1.3043736355709734
A08_S8	0.8257786820298642	0.7858445419320494	1.7893094373020653	0.31126525356031565	1.4519377818083912
A09_S9	0.505756904259304	1.3274203957077502	2.3954146774963454	0.6479162264790412	2.840233135425857
A10_S10	0.44453758032970103	1.7310431011729426	3.441638827562858	0.7066737990419835	3.409173802865053
A11_S11	0.94495492875836	0.349582670602568	2.5638281102216984	0.10666194984149624	1.119397074626533
A12_S12	0.8731520696440827	0.6502068550967309	2.507941041918614	0.2341610949002917	1.3057576382461336
B01_S13	0.7265931150901308	1.2130283136970512	4.251631412326876	0.457162274086222	1.8421711540344115
B02_S14	0.5109872637432528	1.206588962192577	2.620846003902049	0.6116866382701576	2.575239738198143
B04_S16	0.4558920743163315	1.274007841175712	2.637162254297955	0.6201916192693115	2.632906620112399
B05_S17	0.3741180877198781	1.6875345145631517	4.374835128031715	0.7487345120416637	3.9798541698882874
B06_S18	0.7517603604185208	0.9658815901011344	5.063286264488144	0.4064343648229797	1.6847336515729519
B07_S19	0.6055555555555555	0.6706946818184878	0.3149598804186541	0.4803848541278709	1.9245012543304265
B08_S20	0.5129108631240827	1.2127990995499747	2.6599626069137563	0.6155510120321437	2.6011253281894704
B09_S21	0.5373389059666611	1.2233244442958549	3.4169942715320003	0.6063592486096845	2.5403873874035146
B10_S22	0.42509251329121084	1.2058919237554602	1.7726244295889526	0.6432848927606736	2.8033575806170794
B11_S23	0.6080267676322972	1.136004047096125	4.625932716865363	0.5386898811040586	2.1677391391138587
B12_S24	0.5405920989085289	1.2070877630004926	2.4978178112682277	0.589173122571798	2.4341153292113042
Blank_S38	0.6503544554123581	1.0725292972976492	1.6047405558049144	0.5292460670406361	2.1242520348445426
C01_S25	0.9166714904410334	0.4518152615094065	1.7224765667043345	0.15814875016363616	1.1878583065528223
C02_S26	0.5241745132072767	1.652646831611035	2.386758415982168	0.6797899582957982	3.122950156959048
C03_S27	0.08350781329792667	3.791018548822932	10.042436105772438	0.9668200754587115	30.138706275706543
C05_S29	0.7275473459589223	1.1919929872195185	3.362797312008094	0.4558000393318141	1.8375598534997475
C06_S30	0.6696006243065472	1.510045235962255	4.30448708346024	0.5400562233083018	2.174178781573782
C07_S31	1.0	-0.0	0.08355140622507423	0.0	1.0
C08_S32	0.6562774543692987	0.932211508674768	0.9339079083585058	0.500513283084025	2.002055242178187
C09_S33	0.5958193324075939	1.1841196218484806	1.3442249481974855	0.5789138013140329	2.3748106756302616
C10_S34	0.645047542618127	1.2867895593720347	0.8405793173910019	0.5598213287807816	2.2718047588043593
C11_S35	0.13590184197039581	3.9839376365814796	16.27194210305363	0.9582281078160257	23.939542781441183
C12_S36	0.5220589504947076	1.7305447188099787	3.2432551511115646	0.6743957711838119	3.071213183058889
ENC_S37	0.9768243979184316	0.13503368863233137	0.3739604594757365	0.04562934525946649	1.0478109265334357
