species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41186,36696,36275,29848,34662,33422,36845
Bacillus subtilis,6229,7257,8805,5548,5422,6022,6454
Bacillus inaquosorum,159,168,147,102,123,102,133
Bacillus vallismortis,142,157,164,75,108,107,126
Bacillus stercoris,157,NA,148,NA,NA,NA,NA
Bacillus rugosus,62,63,62,NA,NA,53,54
Staphylococcus aureus,28022,21125,27446,26806,39475,41899,42249
Listeria monocytogenes,24439,21038,25596,28096,37867,38884,41032
Listeria innocua,162,114,175,155,211,218,211
Listeria welshimeri,53,NA,52,NA,66,53,51
Listeria swaminathanii,48,NA,73,66,86,72,59
Enterococcus faecalis,35494,30805,39321,33648,37461,38424,40727
Limosilactobacillus fermentum,17803,14770,17270,21414,29283,27611,32838
Salmonella enterica,52587,50667,47569,35513,44287,42644,44454
Salmonella bongori,46,NA,NA,NA,NA,NA,NA
Escherichia coli,35774,43187,31430,23156,25855,22268,28497
Escherichia albertii,74,51,56,NA,47,NA,NA
Shigella flexneri,993,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,25187,22878,17898,16935,29132,25303,36341
Cryptococcus neoformans,8149,6283,9157,6778,5312,4852,5644
Saccharomyces cerevisiae,7430,8656,8371,7163,6724,7613,6444
Saccharomyces paradoxus,76,66,78,47,63,59,57
