species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,39128,33310,33625,27589,34063,32119,35001
Bacillus velezensis,229,235,142,NA,407,NA,436
Bacillus subtilis,4164,5087,6170,2874,1588,2709,2548
Bacillus inaquosorum,134,160,140,108,113,97,121
Bacillus vallismortis,145,159,148,57,108,87,114
Bacillus halotolerans,66,56,44,46,51,54,85
Bacillus tequilensis,35,27,37,35,28,25,39
Bacillus atrophaeus,26,25,23,19,26,26,25
Bacillus rugosus,56,51,53,35,35,51,46
Bacillus cabrialesii,33,27,27,14,29,26,30
Staphylococcus aureus,23585,18873,24275,22994,34921,35308,36343
Staphylococcus argenteus,40,23,40,40,49,63,33
Staphylococcus schweitzeri,19,15,28,17,32,38,37
Staphylococcus epidermidis,11,NA,10,NA,19,15,NA
Staphylococcus simiae,11,NA,15,NA,16,16,13
Listeria monocytogenes,22682,18568,23449,24975,35030,34941,36923
Listeria innocua,264,140,206,265,337,443,316
Listeria welshimeri,53,31,48,28,58,57,53
Listeria swaminathanii,51,33,69,72,86,74,63
Listeria seeligeri,29,20,27,17,44,36,24
Listeria ivanovii,24,20,75,26,143,90,128
Paenibacillus sp. FSL W8-0194,11,12,NA,NA,NA,NA,NA
Enterococcus faecalis,32942,27541,33804,29058,34080,34471,35965
Limosilactobacillus fermentum,16122,12774,15035,18169,25973,23809,28161
Actinomyces oris,16,16,21,NA,14,NA,NA
Salmonella enterica,48837,49345,43358,31524,39803,37508,43238
Salmonella bongori,68,192,48,23,136,350,22
Escherichia coli,40651,35710,33084,24452,29271,24385,30107
Escherichia albertii,88,58,63,47,50,39,39
Escherichia marmotae,56,30,33,28,19,17,29
Escherichia sp. E4742,43,28,37,12,16,NA,21
Escherichia fergusonii,76,38,47,32,36,36,33
Shigella flexneri,1687,1753,1394,1078,436,2069,798
Shigella dysenteriae,172,218,183,184,111,117,150
Shigella boydii,269,251,198,139,300,165,268
Klebsiella pneumoniae,94,61,55,87,38,42,65
Pseudomonas aeruginosa,21306,20590,15937,15046,25868,22843,28861
Cryptococcus neoformans,7333,5351,7886,5806,4710,4190,4849
Cryptococcus tetragattii,32,33,42,18,17,NA,NA
Saccharomyces cerevisiae,5383,5821,5298,4231,4850,4720,5058
Saccharomyces paradoxus,26,28,41,21,30,28,40
Homo sapiens,30,24,32,24,38,58,43
Juglans regia,34,41,25,23,39,31,30
