species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,39763,34238,34456,28433,34512,32932,35441
Bacillus velezensis,228,237,145,169,408,106,394
Bacillus amyloliquefaciens,38,NA,NA,NA,127,123,186
Bacillus subtilis,4279,5230,6379,2938,1571,2761,3038
Bacillus inaquosorum,141,170,145,114,114,102,124
Bacillus halotolerans,68,59,44,53,49,54,79
Bacillus mojavensis,22,26,14,NA,19,31,22
Bacillus vallismortis,145,165,151,60,112,95,115
Bacillus tequilensis,36,27,39,35,29,26,40
Bacillus atrophaeus,27,26,25,19,27,27,25
Bacillus stercoris,27,32,NA,NA,NA,20,31
Bacillus cereus,171,222,159,154,426,115,292
Bacillus rugosus,56,55,56,35,35,51,46
Bacillus cabrialesii,38,28,27,14,30,28,33
Staphylococcus aureus,24022,19413,24865,23809,35117,36275,36821
Staphylococcus argenteus,40,23,42,41,50,63,33
Staphylococcus schweitzeri,20,15,29,18,32,39,40
Staphylococcus epidermidis,11,7,11,8,19,15,7
Staphylococcus simiae,11,9,15,8,16,17,13
Staphylococcus hominis,8,6,NA,NA,7,8,10
Staphylococcus lugdunensis,7,NA,NA,NA,8,NA,8
Staphylococcus arlettae,5,NA,NA,NA,NA,5,NA
Staphylococcus warneri,6,NA,NA,NA,NA,7,NA
Staphylococcus saccharolyticus,5,5,NA,NA,5,NA,NA
Listeria monocytogenes,23186,19149,24122,25930,35904,36041,38170
Listeria innocua,269,163,213,275,344,469,324
Listeria welshimeri,54,33,50,29,62,57,53
Listeria swaminathanii,51,34,71,74,87,79,63
Listeria seeligeri,29,21,28,19,44,36,25
Listeria ivanovii,25,22,77,27,145,92,133
Paenibacillus sp. FSL W8-0194,12,12,10,NA,NA,NA,8
Enterococcus faecalis,33645,28463,34758,30151,34975,35547,37107
Candidatus Enterococcus dunnyi,9,10,9,NA,6,7,10
Enterococcus sp. DIV0212c,6,NA,7,NA,6,8,NA
Enterococcus rotai,6,NA,NA,NA,NA,NA,NA
Limosilactobacillus fermentum,16480,13269,15554,18905,26754,24744,29207
Lactiplantibacillus plantarum,6,NA,5,NA,NA,7,8
Actinomyces oris,16,16,21,9,14,9,10
Salmonella enterica,50006,50860,44878,32730,40902,38878,45294
Salmonella bongori,68,194,48,23,138,357,22
Salmonella sp. HY31,13,NA,NA,NA,17,NA,NA
Escherichia coli,41596,36751,34173,25368,30034,25247,30874
Escherichia albertii,89,59,63,47,50,41,39
Escherichia marmotae,56,30,33,28,20,17,29
Escherichia sp. E4742,43,24,37,12,16,12,22
Escherichia fergusonii,78,40,49,32,36,36,33
Shigella flexneri,1714,1774,1425,1110,546,2109,832
Shigella dysenteriae,174,225,192,196,112,119,159
Shigella boydii,273,251,202,143,304,168,271
Shigella sonnei,45,713,78,77,66,119,52
Klebsiella pneumoniae,97,63,55,91,37,48,66
Citrobacter portucalensis,33,14,NA,NA,NA,NA,NA
Citrobacter freundii,35,34,51,46,NA,59,44
Citrobacter sp. RHB25-C09,9,NA,NA,5,NA,NA,5
Citrobacter rodentium,6,NA,NA,NA,45,NA,NA
Citrobacter koseri,11,NA,NA,NA,NA,NA,10
Enterobacter asburiae,26,NA,8,NA,NA,20,NA
Enterobacter roggenkampii,10,NA,NA,NA,NA,NA,NA
Leclercia adecarboxylata,13,NA,NA,NA,NA,NA,7
Kosakonia cowanii,11,NA,NA,NA,NA,8,NA
Yokenella regensburgei,5,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,21796,21451,16570,15593,26667,23777,30010
Pseudomonas paraeruginosa,25,NA,NA,NA,NA,NA,NA
Pseudomonas chlororaphis,12,NA,NA,NA,NA,NA,NA
Pseudomonas fluorescens,9,NA,NA,NA,NA,NA,NA
Cryptococcus neoformans,7534,5575,8189,6033,4872,4351,5054
Cryptococcus tetragattii,34,34,43,21,15,10,12
Saccharomyces cerevisiae,5510,6051,5471,4432,4986,4893,5291
Saccharomyces paradoxus,27,35,46,25,33,29,42
Saccharomyces mikatae,5,NA,8,NA,5,8,5
Homo sapiens,36,27,46,28,45,60,48
Juglans regia,35,42,28,24,40,33,32
Cryptomeria japonica,6,5,5,NA,NA,6,NA
