species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,16375,9875,12047,8316,11248,9034,9930
Bacillus velezensis,44,NA,NA,NA,53,NA,25
Bacillus inaquosorum,48,14,31,15,27,18,20
Bacillus subtilis,537,535,230,253,202,644,181
Bacillus halotolerans,19,8,13,4,4,3,13
Bacillus vallismortis,23,16,14,8,19,12,15
Bacillus stercoris,63,32,33,NA,32,27,32
Bacillus atrophaeus,5,1,7,3,3,NA,1
Bacillus tequilensis,2,6,10,2,NA,NA,1
Bacillus cereus,26,28,26,6,26,46,33
Bacillus sp. FSL R5-0560,4,NA,NA,NA,NA,NA,NA
Bacillus sp. FSL R5-0523,6,NA,NA,NA,7,NA,NA
Bacillus sp. FJAT-18017,1,NA,NA,NA,1,NA,NA
Bacillus sp. FSL K6-1012,10,NA,NA,NA,NA,NA,NA
Bacillus rugosus,16,6,11,9,4,16,4
Bacillus cabrialesii,9,1,4,4,NA,NA,2
Priestia koreensis,1,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,9253,5447,8123,6242,11650,10723,10255
Staphylococcus sp. MZ8,187,NA,NA,NA,NA,NA,215
Staphylococcus argenteus,11,6,6,9,11,5,6
Staphylococcus schweitzeri,3,1,1,4,8,5,9
Staphylococcus saprophyticus,2,2,2,1,7,5,1
Staphylococcus simiae,2,NA,1,NA,2,1,NA
Staphylococcus agnetis,1,1,NA,NA,NA,1,1
Staphylococcus kloosii,1,NA,NA,NA,NA,NA,NA
Staphylococcus massiliensis,1,NA,NA,NA,NA,NA,NA
Staphylococcus warneri,1,NA,NA,1,NA,1,NA
Staphylococcus capitis,1,NA,NA,NA,2,1,NA
Staphylococcus croceilyticus,3,NA,NA,NA,NA,NA,NA
Staphylococcus epidermidis,1,NA,2,1,4,2,1
Listeria monocytogenes,8953,5244,7595,6866,11894,10352,10599
Listeria innocua,29,25,52,19,25,52,34
Listeria welshimeri,8,2,6,2,6,6,8
Listeria swaminathanii,7,6,10,6,16,3,12
Listeria seeligeri,3,1,2,9,7,4,2
Listeria ivanovii,1,3,7,NA,NA,3,1
Paenibacillus sp. FSL W8-0194,2,5,4,NA,1,NA,1
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,1,NA,NA,1,NA,1,1
Enterococcus faecalis,12918,7793,11173,7905,11325,10218,10273
Enterococcus sp. 9D6_DIV0238,5,2,NA,NA,NA,NA,1
Enterococcus sp. DIV0849a,1,NA,1,1,NA,1,1
Enterococcus sp. 12C11_DIV0727,1,NA,NA,NA,NA,NA,NA
Enterococcus saccharolyticus,1,NA,NA,NA,NA,NA,NA
Enterococcus cecorum,1,NA,3,3,2,NA,NA
Enterococcus raffinosus,1,1,NA,NA,NA,NA,NA
Enterococcus rotai,1,NA,NA,NA,NA,NA,NA
Enterococcus faecium,1,1,1,NA,NA,NA,NA
Vagococcus lutrae,1,1,NA,NA,NA,1,NA
Limosilactobacillus fermentum,6535,3294,4522,5293,7852,6400,7386
Limosilactobacillus mucosae,1,NA,NA,NA,2,NA,1
