species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,2702,1245,1675,1179,1481,1190,1205
Staphylococcus aureus,1560,662,1185,860,1623,1381,1369
Listeria monocytogenes,1452,632,1045,879,1681,1296,1287
Enterococcus faecalis,2133,936,1565,1064,1573,1344,1309
Limosilactobacillus fermentum,1086,407,642,692,983,775,896
Salmonella enterica,4034,1671,2547,1535,1766,1462,1695
Escherichia coli,1924,938,527,693,875,542,649
Pseudomonas aeruginosa,1493,553,530,643,912,601,777
Cryptococcus neoformans,407,137,233,206,161,94,138
Saccharomyces cerevisiae,267,162,196,123,156,117,117
