species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,39989,34481,34555,28667,35412,33194,36032
Bacillus subtilis,4520,5585,6607,3083,1837,2898,3393
Bacillus inaquosorum,142,171,145,115,116,103,126
Bacillus vallismortis,146,165,151,NA,113,95,115
Bacillus rugosus,57,56,56,NA,NA,52,NA
Staphylococcus aureus,24032,19424,24881,23824,35759,36336,37484
Listeria monocytogenes,23191,19166,24173,25939,35910,36051,38180
Listeria innocua,269,164,213,275,344,469,324
Listeria welshimeri,54,NA,50,NA,62,57,53
Listeria swaminathanii,51,NA,71,74,87,79,63
Enterococcus faecalis,33648,28482,34777,30173,35001,35573,37134
Limosilactobacillus fermentum,16480,13270,15555,18906,26757,24748,29211
Salmonella enterica,50108,51155,45315,33065,41175,39650,45624
Salmonella bongori,68,197,48,NA,NA,NA,NA
Escherichia coli,41963,37636,35600,26553,30882,27235,31861
Escherichia albertii,89,59,63,48,50,NA,NA
Escherichia marmotae,56,NA,NA,NA,NA,NA,NA
Escherichia fergusonii,78,NA,NA,NA,NA,NA,NA
Shigella flexneri,1732,1822,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,21826,21455,16575,15601,26718,23790,30018
Cryptococcus neoformans,7537,5577,8191,6036,4872,4353,5054
Saccharomyces cerevisiae,5513,6055,5474,4437,4990,4899,5294
