Sample	BP	Sh	F	Si	ISi
ZC1_S4	0.2240844381927194	2.106544220443342	1.8333140567914545	0.8623757359737438	7.26616056460232
ZC2_S5	0.21455747727990165	2.036257357077341	0.9994741409288257	0.8572622256153279	7.005853946587705
ZC3_S6	0.2043846551026389	2.0411386713992385	1.3816737795783518	0.859031397773386	7.093778218730227
ZC4_S7	0.18083095577746078	2.0554771089645896	0.9063847690587508	0.8679779428495754	7.574491881009022
ZP1_S20	0.15953704481876793	2.079988792205823	1.2615112298509161	0.8709771875915102	7.750567371248832
ZP2_S21	0.1684654825642333	2.0847067944049256	1.1820810311239753	0.8685671652403253	7.608448846351847
ZP3_S22	0.17274192914159883	2.0608895069094775	0.9763659926638109	0.869091150877679	7.638902997807289
