species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40959,35974,36210,30134,35489,34215,37003
Bacillus velezensis,265,260,174,203,395,113,365
Bacillus amyloliquefaciens,37,NA,17,20,118,116,184
Bacillus siamensis,3,NA,NA,NA,3,3,NA
Bacillus subtilis,4287,5524,6948,3236,1759,2789,2959
Bacillus inaquosorum,164,193,164,130,132,113,146
Bacillus halotolerans,72,69,59,62,47,59,78
Bacillus mojavensis,21,26,17,12,21,30,21
Bacillus vallismortis,163,187,163,69,119,105,141
Bacillus tequilensis,37,31,46,36,32,27,41
Bacillus atrophaeus,31,28,30,25,29,34,30
Bacillus stercoris,26,32,16,10,21,23,34
Bacillus paralicheniformis,8,5,2,7,9,NA,3
Bacillus sp. PPSBB_11,69,130,32,81,211,43,94
Bacillus sp. FSL R5-0523,14,3,12,NA,8,11,NA
Bacillus sp. PS196,38,13,NA,NA,NA,13,NA
Bacillus sp. DX3.1,2,NA,NA,NA,NA,2,NA
Bacillus sp. T3,2,NA,1,NA,1,1,NA
Bacillus sp. FSL K6-1003,6,NA,NA,NA,NA,3,8
Bacillus sp. SG20032,17,37,27,NA,NA,18,NA
Bacillus sp. OxB-1,1,NA,NA,NA,1,NA,NA
Bacillus sp. FSL M8-0071,13,29,NA,NA,16,14,NA
Bacillus sp. JS,4,9,14,6,5,15,24
Bacillus sp. SCS-153A,1,NA,NA,NA,NA,NA,NA
Bacillus sp. NEB1478,1,NA,NA,NA,NA,NA,NA
Bacillus sp. MD-5,4,9,6,NA,5,NA,11
Bacillus sp. WR11,427,NA,NA,NA,510,908,NA
Bacillus sp. HNA3,221,NA,170,NA,NA,NA,1241
Bacillus sp. FSL R5-0560,3,3,2,4,NA,3,NA
Bacillus sp. PAMC26543,6,NA,10,9,NA,6,8
Bacillus sp. FSL K6-1012,6,13,NA,9,7,NA,NA
Bacillus sp. MBGLi79,5,10,24,7,5,16,19
Bacillus cereus,182,244,170,155,397,108,317
Bacillus thuringiensis,6,21,1,12,7,3,NA
Bacillus albus,7,NA,NA,NA,NA,NA,NA
Bacillus mycoides,1,3,NA,3,NA,NA,1
