Sample1	Sample2	Intersection	Union	Jaccard	N_Intersections
B05_S17_human	A11_S11_human	290825	36949905	0.00787079	2828
B05_S17_human	B12_S24_human	534214	43568018	0.0122616	5669
B05_S17_human	A04_S4_human	517652	42428660	0.0122005	5885
B05_S17_human	B10_S22_human	345445	37051931	0.00932327	3531
B05_S17_human	C07_S31_human	153889	26535193	0.00579943	1759
B05_S17_human	C11_S35_human	2095	23217153	9.0235e-05	19
A09_S9_human	C03_S27_human	49077	19540622	0.00251154	497
A09_S9_human	B11_S23_human	377679	40546636	0.00931468	3988
A09_S9_human	B09_S21_human	975683	98594592	0.00989591	10638
A09_S9_human	Blank_S38_human	1485	17886541	8.30233e-05	16
A09_S9_human	B03_S15_human	257228	32103263	0.00801252	2619
A09_S9_human	A06_S6_human	249914	31744742	0.00787261	2551
A09_S9_human	A07_S7_human	218239	26990243	0.00808585	2242
A09_S9_human	C04_S28_human	140939	27070163	0.00520643	1298
A09_S9_human	A10_S10_human	276058	33056368	0.00835113	2769
A09_S9_human	A12_S12_human	450044	46475847	0.00968339	4732
A09_S9_human	C01_S25_human	87517	20783337	0.00421092	933
A09_S9_human	A01_S1_human	241725	29818121	0.00810665	2581
A09_S9_human	A08_S8_human	269882	29357999	0.00919279	3058
A09_S9_human	B07_S19_human	320298	35505817	0.009021	3325
A09_S9_human	B08_S20_human	222528	26890377	0.00827538	2389
A09_S9_human	A05_S5_human	329984	35820959	0.00921204	3497
A09_S9_human	A11_S11_human	209866	31674005	0.00662581	1975
A09_S9_human	B12_S24_human	337923	38407450	0.00879837	3584
A09_S9_human	A04_S4_human	349918	37239535	0.00939641	3747
A09_S9_human	B10_S22_human	232760	31807757	0.00731771	2326
A09_S9_human	C07_S31_human	100407	21231816	0.00472908	1133
A09_S9_human	C11_S35_human	1487	17860902	8.32545e-05	14
C03_S27_human	B11_S23_human	63405	24777985	0.00255892	642
C03_S27_human	B09_S21_human	129887	83357463	0.00155819	1357
C03_S27_human	Blank_S38_human	453	1804648	0.000251018	5
C03_S27_human	B03_S15_human	50170	16227396	0.00309169	502
C03_S27_human	A06_S6_human	45731	15866000	0.00288233	460
C03_S27_human	A07_S7_human	37505	11088052	0.00338247	404
C03_S27_human	C04_S28_human	32292	11095885	0.00291027	258
C03_S27_human	A10_S10_human	44894	17204607	0.00260942	444
C03_S27_human	A12_S12_human	66009	30776957	0.00214475	694
C03_S27_human	C01_S25_human	21797	4766132	0.00457331	237
C03_S27_human	A01_S1_human	44641	13932280	0.00320414	465
C03_S27_human	A08_S8_human	42526	13502430	0.00314951	480
C03_S27_human	B07_S19_human	53233	19689957	0.00270356	545
C03_S27_human	B08_S20_human	41991	10987989	0.00382154	436
C03_S27_human	A05_S5_human	53909	20014109	0.00269355	550
C03_S27_human	A11_S11_human	34118	15766828	0.00216391	314
C03_S27_human	B12_S24_human	58519	22603929	0.00258889	587
C03_S27_human	A04_S4_human	56864	21449664	0.00265104	576
C03_S27_human	B10_S22_human	42669	15914923	0.00268107	441
C03_S27_human	C07_S31_human	24986	5224312	0.00478264	272
C03_S27_human	C11_S35_human	1081	1778383	0.000607856	10
B11_S23_human	B09_S21_human	1476678	103345288	0.0142888	16031
B11_S23_human	Blank_S38_human	1569	23138148	6.78101e-05	12
B11_S23_human	B03_S15_human	373663	37238519	0.0100343	3795
B11_S23_human	A06_S6_human	323796	36922551	0.0087696	3376
B11_S23_human	A07_S7_human	272621	32187552	0.00846977	2927
B11_S23_human	C04_S28_human	207264	32255529	0.00642569	1880
B11_S23_human	A10_S10_human	355992	38228125	0.00931231	3682
B11_S23_human	A12_S12_human	593931	51583651	0.0115139	6462
B11_S23_human	C01_S25_human	122729	25999816	0.00472038	1273
B11_S23_human	A01_S1_human	318779	34992758	0.00910986	3501
B11_S23_human	A08_S8_human	351964	34527608	0.0101937	4129
B11_S23_human	B07_S19_human	473983	40603823	0.0116734	4828
B11_S23_human	B08_S20_human	313110	32051486	0.00976897	3360
B11_S23_human	A05_S5_human	435451	40967183	0.0106293	4766
B11_S23_human	A11_S11_human	273957	36861605	0.00743204	2551
B11_S23_human	B12_S24_human	495184	43501880	0.011383	5078
B11_S23_human	A04_S4_human	468542	42372602	0.0110577	5108
B11_S23_human	B10_S22_human	332735	36959473	0.0090027	3341
B11_S23_human	C07_S31_human	133893	26450021	0.00506211	1520
B11_S23_human	C11_S35_human	2150	23111930	9.30255e-05	16
B09_S21_human	Blank_S38_human	3705	81781972	4.53034e-05	45
B09_S21_human	B03_S15_human	942989	95315153	0.00989338	9940
B09_S21_human	A06_S6_human	830536	95061771	0.0087368	9003
B09_S21_human	A07_S7_human	672842	90433291	0.0074402	7541
B09_S21_human	C04_S28_human	504236	90604517	0.00556524	4908
B09_S21_human	A10_S10_human	901707	96328370	0.00936076	9589
B09_S21_human	A12_S12_human	1649996	109173546	0.0151135	18318
B09_S21_human	C01_S25_human	250282	84518223	0.00296128	2713
B09_S21_human	A01_S1_human	814986	93142511	0.00874988	9414
B09_S21_human	A08_S8_human	909919	92615613	0.00982468	11027
B09_S21_human	B07_S19_human	1203915	98519851	0.01222	12756
B09_S21_human	B08_S20_human	755294	90255262	0.00836842	8452
B09_S21_human	A05_S5_human	1117192	98931402	0.0112926	12770
B09_S21_human	A11_S11_human	658632	95122890	0.00692401	6662
B09_S21_human	B12_S24_human	1308926	101334098	0.0129169	13886
B09_S21_human	A04_S4_human	1240819	100246285	0.0123777	13830
B09_S21_human	B10_S22_human	813664	95124504	0.00855367	8480
B09_S21_human	C07_S31_human	302215	84927659	0.0035585	3524
B09_S21_human	C11_S35_human	3171	81756869	3.87857e-05	27
Blank_S38_human	B03_S15_human	1284	14574609	8.80984e-05	14
Blank_S38_human	A06_S6_human	1469	14208589	0.000103388	16
Blank_S38_human	A07_S7_human	1285	9422599	0.000136374	14
Blank_S38_human	C04_S28_human	1142	9425362	0.000121162	10
Blank_S38_human	A10_S10_human	1136	15546692	7.30702e-05	16
Blank_S38_human	A12_S12_human	2190	29139103	7.51567e-05	19
Blank_S38_human	C01_S25_human	926	3085330	0.00030013	10
Blank_S38_human	A01_S1_human	1067	12274181	8.69304e-05	11
Blank_S38_human	A08_S8_human	1570	11841713	0.000132582	18
Blank_S38_human	B07_S19_human	2181	18039336	0.000120902	23
Blank_S38_human	B08_S20_human	1193	9327114	0.000127907	10
Blank_S38_human	A05_S5_human	1402	18364943	7.63411e-05	16
Blank_S38_human	A11_S11_human	1194	14098079	8.46924e-05	11
Blank_S38_human	B12_S24_human	1552	20959223	7.40485e-05	16
Blank_S38_human	A04_S4_human	1626	19803229	8.21078e-05	17
Blank_S38_human	B10_S22_human	1253	14254666	8.7901e-05	15
Blank_S38_human	C07_S31_human	1074	3546551	0.000302829	11
Blank_S38_human	C11_S35_human	0	77791	0	0
B03_S15_human	A06_S6_human	234115	28448408	0.00822946	2395
B03_S15_human	A07_S7_human	198076	23698273	0.00835825	2087
B03_S15_human	C04_S28_human	150425	23748544	0.00633407	1299
B03_S15_human	A10_S10_human	242236	29778057	0.00813472	2442
B03_S15_human	A12_S12_human	393934	43219824	0.00911466	4164
B03_S15_human	C01_S25_human	86551	17472170	0.00495365	878
B03_S15_human	A01_S1_human	221323	26526390	0.0083435	2405
B03_S15_human	A08_S8_human	240756	26074992	0.00923321	2776
B03_S15_human	B07_S19_human	333465	32180517	0.0103623	3352
B03_S15_human	B08_S20_human	229143	23571629	0.00972114	2362
B03_S15_human	A05_S5_human	296723	32542087	0.00911813	3174
