species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41829,37392,36158,31535,36068,34343,38638
Bacillus subtilis,4670,5380,7416,2843,2157,3966,3544
Bacillus inaquosorum,151,192,161,117,140,117,140
Bacillus vallismortis,139,180,165,58,130,127,122
Bacillus halotolerans,73,76,59,NA,NA,79,83
Bacillus tequilensis,37,29,44,34,32,27,41
Bacillus atrophaeus,33,28,28,22,28,34,30
Bacillus rugosus,61,66,63,45,41,59,52
Bacillus cabrialesii,40,31,35,NA,33,37,39
Staphylococcus aureus,24976,20510,26115,25445,37254,38290,39804
Staphylococcus argenteus,39,25,44,42,54,62,34
Listeria monocytogenes,24009,20467,25307,27927,37876,38534,40287
Listeria innocua,335,157,274,375,323,444,405
Listeria welshimeri,60,35,55,30,65,55,56
Listeria swaminathanii,56,40,77,76,87,81,70
Listeria seeligeri,37,NA,34,22,41,41,29
Listeria ivanovii,25,22,105,28,124,89,175
Enterococcus faecalis,34995,30309,36824,32547,36576,37689,39690
Limosilactobacillus fermentum,17244,14269,16607,20373,28150,26535,31434
Actinomyces oris,27,29,30,NA,30,NA,23
Salmonella enterica,54954,52948,45132,36251,43169,42332,49097
Salmonella bongori,70,215,50,22,137,392,22
Escherichia coli,40113,42038,40369,26577,32491,26310,33216
Escherichia albertii,94,64,64,47,52,41,40
Escherichia marmotae,58,30,32,27,NA,NA,30
Escherichia sp. E4742,44,32,36,NA,NA,NA,NA
Escherichia fergusonii,81,43,48,34,39,37,36
Shigella flexneri,2307,1825,937,1473,NA,2702,872
Shigella dysenteriae,215,226,143,173,NA,NA,157
Shigella boydii,309,274,NA,NA,296,NA,NA
Klebsiella pneumoniae,108,81,70,NA,NA,NA,NA
Pseudomonas aeruginosa,22306,22827,17448,16109,27913,25449,31960
Pseudomonas sp. CIP-10,666,431,499,593,442,315,408
Burkholderia multivorans,33,29,22,NA,24,NA,NA
Homo sapiens,100,86,116,78,117,116,126
