species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,21554,14215,16137,11370,15151,12915,13683
Bacillus velezensis,50,NA,42,NA,93,18,52
Bacillus amyloliquefaciens,26,13,11,11,NA,19,196
Bacillus siamensis,4,NA,NA,NA,NA,NA,NA
Bacillus inaquosorum,73,38,55,28,38,34,32
Bacillus subtilis,826,596,614,394,953,785,501
Bacillus halotolerans,25,26,31,28,26,9,13
Bacillus mojavensis,3,3,NA,NA,NA,3,NA
Bacillus vallismortis,47,26,39,11,36,27,23
Bacillus atrophaeus,9,1,7,4,7,2,2
Bacillus tequilensis,9,4,14,2,2,1,7
Bacillus stercoris,24,18,NA,NA,5,26,20
Bacillus paralicheniformis,3,NA,NA,NA,3,NA,NA
Bacillus sp. FSL R5-0523,9,NA,10,NA,NA,4,NA
Bacillus sp. FSL R5-0560,4,NA,4,NA,NA,NA,NA
Bacillus sp. PS196,16,20,NA,NA,NA,17,NA
Bacillus sp. HNA3,271,NA,315,NA,NA,NA,561
Bacillus sp. FSL K6-1012,8,NA,18,9,8,NA,NA
Bacillus thuringiensis,5,NA,NA,11,NA,NA,NA
Bacillus cereus,19,66,18,45,37,41,23
Bacillus rugosus,23,11,11,12,9,21,10
Bacillus cabrialesii,6,2,10,6,3,2,8
Bacillus pumilus,3,2,1,1,1,NA,NA
Bacillus glycinifermentans,1,NA,NA,NA,NA,NA,NA
Lysinibacillus sphaericus,1,NA,NA,NA,NA,NA,NA
Priestia koreensis,1,NA,NA,NA,NA,NA,NA
Rossellomorea marisflavi,1,NA,1,NA,NA,NA,NA
Staphylococcus aureus,12345,7605,11150,8621,16272,14806,14559
Staphylococcus sp. MZ8,118,NA,NA,NA,NA,NA,140
Staphylococcus argenteus,15,7,12,11,15,15,16
Staphylococcus schweitzeri,14,2,3,9,11,9,13
Staphylococcus warneri,2,1,NA,3,NA,1,1
Staphylococcus agnetis,2,1,NA,1,1,2,1
Staphylococcus capitis,2,NA,NA,NA,2,2,NA
Staphylococcus simiae,2,NA,2,NA,3,5,NA
Staphylococcus epidermidis,1,3,5,1,5,4,2
Staphylococcus shinii,1,NA,NA,NA,NA,NA,NA
Staphylococcus equorum,2,NA,2,NA,NA,3,NA
Staphylococcus hominis,1,NA,NA,NA,1,NA,NA
Staphylococcus gallinarum,1,1,1,NA,NA,2,NA
Staphylococcus lugdunensis,1,1,NA,1,NA,NA,2
Staphylococcus kloosii,1,NA,NA,NA,NA,NA,NA
Staphylococcus croceilyticus,7,NA,NA,NA,NA,NA,NA
Listeria monocytogenes,11954,7239,9477,9183,16436,14607,14593
Listeria innocua,42,37,127,262,85,217,301
Listeria swaminathanii,12,10,12,14,19,7,15
Listeria welshimeri,10,4,9,6,12,8,14
Listeria seeligeri,11,19,3,1,10,6,7
Listeria weihenstephanensis,2,NA,NA,NA,1,NA,NA
Listeria ivanovii,1,11,10,9,6,11,10
Paenibacillus sp. FSL W8-0194,4,6,5,NA,1,NA,3
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Enterococcus faecalis,17311,11159,15275,10986,15622,14280,14478
Candidatus Enterococcus dunnyi,4,2,NA,NA,NA,4,3
Enterococcus sp. DIV0212c,2,1,2,1,2,1,2
Enterococcus sp. DIV0849a,1,NA,1,1,NA,1,1
Enterococcus faecium,3,3,NA,NA,NA,NA,NA
