species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Cryptococcus neoformans,7709,5784,8625,6258,4978,4519,5214
Cryptococcus gattii VGI,57,30,39,27,26,24,22
Cryptococcus gattii VGII,31,26,53,16,13,12,15
Saccharomyces cerevisiae,5499,6057,5540,4424,4915,4856,5226
Clavispora lusitaniae,9,NA,5,NA,NA,NA,5
Coccidioides immitis,19,14,NA,NA,7,11,12
Neurospora crassa,11,6,NA,12,NA,NA,6
Sclerotinia sclerotiorum,5,6,NA,NA,NA,NA,NA
Aphanomyces invadans,17,7,9,8,16,NA,7
Aphanomyces astaci,11,7,8,10,7,10,11
Phytophthora palmivora,5,NA,NA,NA,NA,NA,NA
Albugo candida,5,NA,NA,NA,NA,NA,NA
Acanthamoeba healyi,9,10,5,9,8,6,7
