species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,29090,21782,23827,18087,21993,19751,22940
Bacillus subtilis,1589,1383,1321,NA,1642,1502,NA
Bacillus inaquosorum,91,70,79,NA,66,NA,NA
Staphylococcus aureus,16830,11522,15993,13412,23121,22191,22181
Listeria monocytogenes,15912,11431,14924,14592,23400,21697,22119
Listeria innocua,106,NA,160,NA,111,322,348
Enterococcus faecalis,23285,16840,22053,17131,22338,21506,22134
Limosilactobacillus fermentum,11470,7360,9348,10970,16330,13987,16334
Salmonella enterica,38997,26768,28757,20934,26375,24233,26171
Escherichia coli,25828,24171,19777,13729,18218,14056,17792
Pseudomonas aeruginosa,14807,11895,9570,9330,16148,13110,16632
Pseudomonas sp. CIP-10,373,NA,NA,NA,NA,NA,NA
