species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,10321,4805,6395,4193,5831,4641,4771
Bacillus velezensis,33,NA,NA,NA,37,NA,19
Bacillus inaquosorum,38,9,18,2,16,10,6
Bacillus subtilis,293,154,81,50,111,193,81
Bacillus halotolerans,9,5,7,12,5,NA,4
Bacillus mojavensis,2,NA,NA,NA,NA,NA,NA
Bacillus vallismortis,17,3,10,5,8,4,8
Bacillus tequilensis,5,2,7,NA,1,1,2
Bacillus atrophaeus,5,NA,3,NA,3,NA,1
Bacillus stercoris,10,NA,NA,NA,NA,3,6
Bacillus paralicheniformis,2,NA,NA,NA,NA,NA,NA
Bacillus sp. PS196,10,NA,NA,NA,NA,8,NA
Bacillus sp. FSL K6-1012,6,NA,5,6,NA,NA,NA
Bacillus sp. FSL R5-0523,3,NA,3,NA,NA,NA,NA
Bacillus rugosus,8,6,1,3,3,8,5
Bacillus cabrialesii,4,NA,NA,2,1,NA,3
Bacillus thuringiensis,3,NA,NA,5,NA,NA,NA
Bacillus pumilus,1,1,1,1,NA,NA,NA
Lysinibacillus sphaericus,1,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,5821,2663,4471,3083,6420,5335,5272
Staphylococcus schweitzeri,6,NA,2,2,4,3,4
Staphylococcus argenteus,4,1,3,3,6,2,6
Staphylococcus capitis,2,NA,NA,NA,NA,1,NA
Staphylococcus simiae,2,NA,1,NA,2,1,NA
Staphylococcus shinii,1,NA,NA,NA,NA,1,NA
Staphylococcus equorum,2,NA,2,NA,NA,NA,NA
Staphylococcus hominis,1,NA,NA,NA,NA,NA,NA
Staphylococcus warneri,1,NA,NA,2,NA,2,1
Staphylococcus lugdunensis,1,NA,NA,NA,NA,NA,2
Staphylococcus kloosii,1,NA,NA,NA,NA,NA,NA
Staphylococcus agnetis,1,NA,NA,NA,1,NA,1
Staphylococcus croceilyticus,6,NA,NA,NA,NA,NA,NA
Listeria monocytogenes,5520,2489,4178,3392,6473,4868,5270
Listeria innocua,17,32,27,15,49,269,23
Listeria swaminathanii,8,12,4,7,11,2,8
Listeria welshimeri,5,2,6,2,5,1,8
Listeria seeligeri,3,NA,2,1,5,3,NA
Listeria weihenstephanensis,2,NA,NA,NA,1,NA,NA
Paenibacillus sp. FSL W8-0194,1,4,2,NA,1,NA,1
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Paenisporosarcina antarctica,1,NA,NA,NA,NA,NA,NA
Enterococcus faecalis,7995,3851,6195,3973,6116,5065,5117
Candidatus Enterococcus dunnyi,2,1,NA,NA,NA,1,2
Enterococcus sp. DIV0212c,1,1,NA,1,1,1,2
Enterococcus saccharolyticus,1,NA,NA,NA,NA,NA,NA
Enterococcus cecorum,1,NA,NA,1,NA,1,NA
Candidatus Enterococcus lemimoniae,1,NA,NA,NA,NA,NA,NA
Enterococcus saigonensis,1,NA,NA,NA,NA,NA,NA
Enterococcus faecium,2,NA,NA,NA,NA,NA,NA
Limosilactobacillus fermentum,4120,1462,2350,2737,3923,3016,3392
Limosilactobacillus mucosae,1,NA,NA,NA,1,NA,NA
Lactiplantibacillus plantarum,4,NA,NA,NA,NA,1,1
Pediococcus pentosaceus,1,NA,NA,NA,NA,NA,NA
Nicoliella spurrieriana,1,NA,NA,NA,NA,NA,NA
Clostridioides difficile,1,NA,NA,NA,NA,NA,NA
Actinomyces oris,11,5,6,NA,8,2,3
Streptomyces anulatus,1,NA,NA,NA,NA,NA,NA
Corynebacterium timonense,1,NA,NA,NA,NA,NA,NA
Salmonella enterica,13694,5784,7359,5152,6163,5239,5541
Salmonella bongori,11,1,4,3,2,1,2
Salmonella sp. HY31,3,NA,NA,NA,5,NA,NA
Escherichia coli,8579,4022,4436,3016,4269,2711,3415
Escherichia sp. E4742,6,NA,7,2,4,NA,NA
Escherichia sp. KS167_9B,19,NA,NA,NA,NA,NA,NA
Escherichia sp. F1,9,NA,NA,NA,11,NA,NA
Escherichia albertii,15,6,3,4,4,2,NA
Escherichia fergusonii,13,1,11,44,3,4,NA
Escherichia marmotae,4,2,2,2,1,1,1
Shigella flexneri,490,379,255,326,77,60,74
Shigella dysenteriae,43,23,27,24,7,8,NA
Shigella boydii,49,47,32,24,76,52,88
Klebsiella pneumoniae,20,5,7,3,8,NA,10
Klebsiella oxytoca,1,NA,NA,NA,NA,NA,NA
Klebsiella aerogenes,1,NA,1,NA,1,NA,NA
Enterobacter asburiae,7,NA,2,NA,NA,NA,NA
Enterobacter cloacae complex sp. Mu1197,1,NA,NA,NA,NA,NA,NA
Enterobacter roggenkampii,1,NA,NA,NA,NA,NA,NA
Enterobacter cloacae,1,1,1,NA,1,NA,NA
Enterobacter sp. 638,4,NA,NA,NA,NA,NA,NA
Enterobacter sp. ECC-175,1,NA,NA,NA,NA,NA,NA
Enterobacter mori,1,NA,NA,NA,NA,NA,NA
Citrobacter werkmanii,3,NA,NA,NA,NA,NA,NA
Citrobacter portucalensis,2,3,NA,NA,NA,NA,NA
Citrobacter braakii,3,NA,4,2,NA,NA,4
Citrobacter sp. RHB35-C17,3,NA,NA,NA,NA,NA,NA
Citrobacter sp. R56,1,NA,1,1,NA,NA,NA
Citrobacter sp. RHB25-C09,1,NA,NA,NA,NA,NA,NA
Citrobacter enshiensis,1,NA,NA,NA,NA,NA,NA
Leclercia sp. W17,3,NA,NA,NA,NA,NA,NA
Yokenella regensburgei,2,NA,NA,NA,NA,NA,NA
Phytobacter ursingii,2,NA,NA,NA,NA,NA,NA
Buttiauxella selenatireducens,2,NA,NA,NA,NA,NA,NA
Pseudocitrobacter corydidari,1,NA,NA,NA,NA,NA,NA
Kluyvera sichuanensis,1,NA,NA,NA,NA,NA,NA
Kosakonia oryzendophytica,1,NA,NA,NA,NA,NA,NA
Atlantibacter hermannii,1,NA,NA,NA,NA,NA,NA
