species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,17260,11641,13769,8232,12836,10997,12203
Bacillus subtilis,936,916,265,169,329,434,195
Bacillus inaquosorum,37,16,21,10,21,14,13
Bacillus vallismortis,22,17,23,5,12,17,11
Bacillus stercoris,104,70,48,16,70,46,87
Bacillus halotolerans,6,15,15,5,7,7,NA
Bacillus atrophaeus,4,1,7,3,3,3,5
Bacillus tequilensis,1,4,6,2,3,NA,1
Bacillus sp. FSL R5-0560,8,NA,NA,NA,NA,NA,NA
Bacillus sp. FSL R5-0523,11,NA,NA,NA,12,NA,NA
Bacillus sp. THAF10,1,NA,2,NA,1,1,2
Bacillus cabrialesii,14,3,11,4,1,3,11
Bacillus rugosus,14,6,13,1,4,8,6
Cytobacillus gottheilii,1,NA,1,NA,1,NA,NA
Staphylococcus aureus,10110,6481,9113,7580,13130,12289,12414
Staphylococcus agnetis,5,4,4,2,8,11,2
Staphylococcus argenteus,7,3,4,9,10,9,5
Staphylococcus schweitzeri,1,NA,NA,5,3,5,9
Staphylococcus arlettae,1,NA,NA,NA,NA,1,1
Staphylococcus massiliensis,1,NA,NA,NA,NA,NA,NA
Staphylococcus simiae,1,NA,NA,NA,1,1,NA
Staphylococcus kloosii,1,NA,NA,NA,NA,NA,NA
Staphylococcus epidermidis,1,1,2,NA,1,2,NA
Listeria monocytogenes,9139,5549,8283,7689,13248,11778,12106
Listeria innocua,98,130,53,99,14,42,40
Listeria welshimeri,17,14,5,12,4,5,14
Listeria swaminathanii,20,27,11,23,4,2,5
Listeria seeligeri,6,268,NA,NA,5,NA,NA
Listeria ivanovii,4,NA,1,5,2,NA,NA
Paenibacillus sp. FSL W8-0194,3,5,3,2,1,NA,3
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,1,NA,NA,1,NA,1,1
Enterococcus faecalis,13865,9256,12640,9473,12709,12032,12282
Enterococcus sp. DIV0849a,1,NA,NA,1,NA,1,1
Enterococcus sp. 9E7_DIV0242,1,NA,NA,NA,NA,NA,NA
Enterococcus sp. 12C11_DIV0727,1,NA,NA,NA,NA,NA,NA
Enterococcus raffinosus,1,1,2,2,1,2,2
Vagococcus lutrae,1,1,NA,NA,NA,1,NA
Limosilactobacillus fermentum,6765,3963,5217,6178,8959,7666,8751
Limosilactobacillus mucosae,1,NA,NA,NA,2,NA,NA
Limosilactobacillus vaginalis,1,NA,NA,NA,NA,NA,NA
Lactiplantibacillus plantarum,3,NA,2,1,1,2,3
Pediococcus pentosaceus,1,NA,NA,NA,NA,NA,NA
Nicoliella spurrieriana,1,NA,NA,NA,NA,NA,NA
Carnobacterium viridans,1,NA,1,NA,NA,2,NA
Clostridioides difficile,8,NA,NA,NA,NA,NA,NA
Paludicola sp. MB14-C6,1,NA,NA,NA,NA,NA,NA
Actinomyces oris,4,4,6,2,2,1,3
Streptomyces rochei,1,NA,NA,NA,NA,NA,NA
Corynebacterium guangdongense,1,NA,NA,NA,NA,NA,NA
Arthrobacter agilis,1,NA,NA,NA,NA,NA,NA
Bifidobacterium sp. ESL0790,1,1,3,1,NA,NA,3
Salmonella enterica,24078,16521,19277,11771,16800,13542,16386
Salmonella bongori,9,4,4,1,NA,2,1
Escherichia coli,13997,10343,7521,7064,7464,6820,7266
Escherichia albertii,9,4,5,7,6,1,3
Escherichia sp. E4742,4,6,6,NA,7,NA,7
Escherichia marmotae,6,NA,1,1,1,3,1
Escherichia fergusonii,5,1,1,159,2,2,2
Shigella flexneri,493,64,609,146,223,NA,84
Shigella dysenteriae,66,34,12,19,19,NA,NA
Shigella boydii,35,NA,NA,126,85,51,48
Klebsiella michiganensis,5,2,NA,NA,NA,NA,3
Klebsiella pneumoniae,10,26,20,NA,NA,25,NA
Klebsiella aerogenes,1,NA,NA,NA,NA,NA,NA
Citrobacter portucalensis,4,NA,NA,NA,NA,NA,NA
Citrobacter freundii,8,NA,NA,7,NA,NA,NA
Citrobacter sp. R56,2,NA,NA,1,NA,NA,NA
Enterobacter kobei,3,NA,NA,NA,NA,NA,NA
Enterobacter asburiae,3,NA,2,3,NA,NA,NA
Enterobacter cloacae,1,NA,NA,NA,1,1,NA
Enterobacter mori,1,NA,NA,NA,NA,NA,NA
Kluyvera ascorbata,2,NA,NA,NA,NA,NA,NA
Kluyvera sichuanensis,1,NA,1,NA,NA,NA,NA
Yokenella regensburgei,2,NA,NA,NA,NA,NA,1
Trabulsiella odontotermitis,1,NA,NA,NA,NA,NA,NA
Siccibacter colletis,1,NA,NA,NA,NA,NA,NA
Scandinavium goeteborgense,1,NA,NA,NA,NA,NA,NA
Cedecea neteri,1,NA,NA,NA,NA,NA,NA
Erwinia sorbitola,1,NA,NA,NA,NA,NA,NA
Erwinia pyrifoliae,1,NA,NA,NA,2,NA,NA
Erwinia rhapontici,1,NA,NA,NA,NA,NA,NA
Dickeya dadantii,1,NA,NA,NA,NA,NA,NA
