species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41644,37114,36117,31368,35731,34326,38355
Bacillus velezensis,237,299,162,225,475,NA,470
Bacillus subtilis,4492,5087,7317,2761,2030,3954,3392
Bacillus inaquosorum,150,191,161,116,139,117,140
Bacillus vallismortis,139,180,165,58,129,126,121
Bacillus halotolerans,71,72,59,56,58,78,80
Bacillus tequilensis,37,29,44,34,32,27,41
Bacillus atrophaeus,33,28,28,22,27,34,30
Bacillus cereus,179,301,NA,NA,499,NA,NA
Bacillus rugosus,60,65,62,45,40,59,52
Bacillus cabrialesii,40,31,35,18,33,37,39
Staphylococcus aureus,24974,20505,26114,25441,37247,38287,39800
Staphylococcus argenteus,39,25,44,42,54,62,34
Staphylococcus schweitzeri,20,15,28,20,32,40,40
Staphylococcus simiae,12,10,16,10,16,20,13
Staphylococcus epidermidis,11,NA,10,NA,19,15,NA
Listeria monocytogenes,24008,20462,25307,27926,37874,38532,40286
Listeria innocua,335,157,274,375,323,444,405
Listeria welshimeri,60,35,55,30,65,55,56
Listeria swaminathanii,56,40,77,76,87,81,70
Listeria seeligeri,37,21,34,22,41,41,29
Listeria ivanovii,25,22,105,28,124,89,175
Paenibacillus sp. FSL W8-0194,12,13,NA,NA,NA,NA,12
Enterococcus faecalis,34994,30307,36823,32546,36573,37688,39688
Limosilactobacillus fermentum,17244,14269,16607,20373,28149,26535,31434
Actinomyces oris,27,29,30,17,30,19,23
Salmonella enterica,54953,52803,45099,36200,43000,42222,49020
Salmonella bongori,70,214,50,22,136,390,22
Escherichia coli,40112,41501,40209,26453,31832,26027,33001
Escherichia albertii,94,64,64,47,51,41,40
Escherichia marmotae,58,30,32,27,20,17,30
Escherichia sp. E4742,44,32,36,12,16,NA,21
Escherichia fergusonii,81,43,48,34,38,37,36
Shigella flexneri,2307,1800,932,1465,750,2669,865
Shigella dysenteriae,215,223,143,172,106,129,156
Shigella boydii,309,270,154,130,285,184,280
Klebsiella pneumoniae,108,80,70,93,41,52,70
Pseudomonas aeruginosa,22306,22825,17448,16107,27909,25447,31958
Pseudomonas sp. CIP-10,666,431,499,593,442,315,408
Burkholderia multivorans,33,29,22,20,24,16,17
Homo sapiens,100,86,116,78,117,116,126
