species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,19301,12422,14788,10205,13778,11460,12688
Bacillus inaquosorum,54,21,36,26,32,25,31
Bacillus halotolerans,33,NA,NA,NA,NA,NA,NA
Bacillus subtilis,715,702,297,386,329,886,442
Bacillus vallismortis,27,22,19,10,30,14,22
Bacillus stercoris,74,42,66,NA,49,43,52
Bacillus atrophaeus,6,NA,7,NA,NA,NA,NA
Bacillus rugosus,21,8,18,9,8,18,NA
Bacillus cabrialesii,11,NA,10,NA,NA,NA,NA
Staphylococcus aureus,11083,6692,9819,7832,14114,13162,13034
Staphylococcus argenteus,13,9,8,9,14,6,6
Listeria monocytogenes,10421,6508,9159,8520,14289,12870,13214
Listeria innocua,36,32,60,22,32,56,39
Listeria welshimeri,8,NA,6,NA,8,6,11
Listeria swaminathanii,7,NA,13,9,16,NA,13
Enterococcus faecalis,15131,9718,13534,9915,13749,12647,12773
Enterococcus sp. 9D6_DIV0238,5,NA,NA,NA,NA,NA,NA
Limosilactobacillus fermentum,7610,4179,5576,6603,9735,8105,9338
Actinomyces oris,18,10,16,6,14,9,6
Salmonella enterica,26443,15688,17538,12066,16463,14505,16462
Salmonella bongori,13,NA,14,NA,NA,5,NA
Escherichia coli,14303,11294,9926,7023,9286,6221,8470
Escherichia albertii,18,11,13,6,NA,NA,NA
Escherichia fergusonii,14,NA,8,106,NA,NA,NA
Escherichia marmotae,9,NA,NA,NA,NA,NA,NA
Shigella flexneri,2087,1514,1256,1120,697,1202,NA
Shigella dysenteriae,83,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,9845,6962,5520,5619,9282,7158,9335
Pseudomonas sp. CIP-10,264,NA,115,119,89,72,NA
Burkholderia multivorans,11,6,NA,5,9,NA,NA
