#0	../fragmentation_folder/processed_data/metagenomic/bracken/DE3_S7.bracken (138816 reads)
#1	../fragmentation_folder/processed_data/metagenomic/bracken/DE4_S8.bracken (154897 reads)
#2	../fragmentation_folder/processed_data/metagenomic/bracken/DT3_S15.bracken (181636 reads)
#3	../fragmentation_folder/processed_data/metagenomic/bracken/DT4_S16.bracken (167253 reads)
x	0	1	2	3
0	0.000	0.056	0.134	0.094
1	x.xxx	0.000	0.081	0.041
2	x.xxx	x.xxx	0.000	0.045
3	x.xxx	x.xxx	x.xxx	0.000
