species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,3512,808,34845,803,NA,NA,NA,NA,NA,25,NA,89
Rothia mucilaginosa,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,29,29,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,115,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,848,1625,1819,3555,201,103,183,93,NA,172,49,107
Malassezia restricta,116,110,434,84,NA,NA,NA,NA,NA,NA,NA,15
Citrus sinensis,7,1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
