species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Chitinophaga horti,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitinophaga caeni,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenobacter sp. BRD67,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Gemmatimonas groenlandica,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteitalea pratensis,4,13,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Homo sapiens,1878,3681,4904,8403,369,210,415,173,4,364,92,263
Malassezia restricta,251,254,979,226,NA,1,NA,1,NA,3,NA,22
Cryptococcus depauperatus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium digitatum,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus chevalieri,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1
Colletotrichum destructivum,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Colletotrichum lupini,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Citrus sinensis,20,2636,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Populus trichocarpa,1,43,NA,9,NA,5,NA,NA,NA,1,NA,NA
Corylus avellana,1,169,NA,4,20,30,NA,3,NA,19,NA,4
Dioscorea cayenensis,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triticum dicoccoides,1,2,1,88,NA,NA,NA,12,NA,3,NA,2
Miscanthus floridulus,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Micromonas commoda,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
