species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,7151,1552,54064,1713,1,8,1,6,NA,49,NA,206
Cutibacterium granulosum,5,8,31,53,NA,NA,NA,NA,NA,1,NA,NA
Cutibacterium modestum,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. A1-2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,325,11,NA,2,NA,NA,NA,1,NA,NA,NA,2
Microbacterium sp. CGR1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium spongiae,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium aurantiacum,1,NA,NA,NA,117,22,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,68,34,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,32,8,2,4,NA,NA,NA,1,NA,NA,NA,NA
Corynebacterium kroppenstedtii,13,26,8241,20,NA,NA,NA,NA,NA,1,NA,NA
Corynebacterium genitalium,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,5,8,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium colombiense,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia iterans,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia sp. KTR9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantactinospora sp. ZYX-F-223,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egicoccus halophilus,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ilumatobacter coccineus,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,35,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metabacillus halosaccharovorans,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,8,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,281,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes aquatilis,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraburkholderia terricola,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycoavidus cysteinexigens,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. MC1750,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyella caseinilytica,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylomonas sp. 2B,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,19,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,19,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA
Pseudomonas sp. Z003-0.4C(8344-21),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga sp. RSM25,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,15,38,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Microvirga roseola,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. 170,2,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. 4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. 200,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium diazoefficiens,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium roseum,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Nitrobacter hamburgensis,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pararhizobium sp. A13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium leguminosarum,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. INR15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudolabrys taiwanensis,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paremcibacter congregatus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
