species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,158,58,71,51,75,51,46
Bacillus stercoris,3,NA,NA,NA,NA,NA,3
Staphylococcus aureus,111,32,88,47,87,68,65
Listeria monocytogenes,83,NA,NA,56,NA,NA,55
Enterococcus faecalis,102,36,83,67,82,52,66
Limosilactobacillus fermentum,81,21,35,25,46,39,40
Salmonella enterica,178,59,73,78,57,58,35
Escherichia coli,152,33,51,37,45,17,35
Shigella dysenteriae,19,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,62,21,21,35,36,18,35
Cryptococcus neoformans,26,2,8,6,1,4,5
Saccharomyces cerevisiae,16,3,7,4,6,2,5
Juglans regia,1,1,NA,1,NA,NA,NA
