#0	../fragmentation_folder/processed_data/metagenomic/bracken/DE3_S7.bracken (125066 reads)
#1	../fragmentation_folder/processed_data/metagenomic/bracken/DE4_S8.bracken (139472 reads)
#2	../fragmentation_folder/processed_data/metagenomic/bracken/DT3_S15.bracken (158536 reads)
#3	../fragmentation_folder/processed_data/metagenomic/bracken/DT4_S16.bracken (147179 reads)
x	0	1	2	3
0	0.000	0.057	0.120	0.084
1	x.xxx	0.000	0.068	0.034
2	x.xxx	x.xxx	0.000	0.040
3	x.xxx	x.xxx	x.xxx	0.000
