species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,21916,14352,16524,11487,15318,13123,14384
Bacillus inaquosorum,74,39,56,29,39,34,34
Bacillus subtilis,899,621,684,412,1007,850,635
Bacillus vallismortis,47,26,40,NA,36,28,24
Bacillus rugosus,24,NA,NA,NA,NA,22,NA
Staphylococcus aureus,12469,7609,11156,8631,16293,14838,14709
Staphylococcus argenteus,15,NA,12,NA,15,15,16
Staphylococcus schweitzeri,14,NA,NA,NA,NA,NA,13
Listeria monocytogenes,11961,7263,10417,9193,16440,14614,14615
Listeria innocua,42,37,136,263,85,217,301
Listeria swaminathanii,12,NA,NA,NA,19,NA,NA
Enterococcus faecalis,17318,11164,15283,10988,15625,14291,14486
Limosilactobacillus fermentum,8609,4602,6258,7190,11044,8987,10402
Actinomyces oris,20,11,14,NA,14,10,NA
Salmonella enterica,28798,17111,19343,13653,17463,15540,16621
Salmonella bongori,19,NA,14,NA,NA,NA,NA
Escherichia coli,17852,14278,12763,8533,12551,9228,11593
Escherichia sp. E4742,22,NA,NA,NA,NA,NA,NA
Escherichia albertii,24,30,16,NA,NA,NA,NA
Escherichia fergusonii,20,NA,17,NA,NA,NA,NA
Escherichia marmotae,12,NA,NA,NA,NA,NA,NA
Shigella flexneri,1743,1248,559,801,NA,NA,NA
Shigella dysenteriae,111,NA,NA,NA,NA,NA,NA
Klebsiella pneumoniae,39,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,11175,7421,6166,6294,10732,8249,10490
Pseudomonas sp. CIP-10,289,NA,156,145,NA,NA,NA
Burkholderia multivorans,15,NA,NA,NA,NA,NA,NA
