species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,25383,18261,20461,15644,19608,16769,19791
Bacillus subtilis,1384,1707,1199,NA,731,1538,NA
Bacillus inaquosorum,72,42,50,49,57,NA,43
Staphylococcus aureus,14601,10060,13864,11811,19943,18992,19189
Listeria monocytogenes,13827,9487,12964,12410,19957,18478,18961
Listeria innocua,54,43,78,71,40,73,80
Enterococcus faecalis,20362,14431,19126,14804,19323,18575,19048
Limosilactobacillus fermentum,10096,6337,8032,9619,14073,12165,14079
Salmonella enterica,35233,24520,26206,18220,24073,22103,24667
Escherichia coli,21541,19150,15669,11619,13957,10757,12945
Pseudomonas aeruginosa,13005,10096,8183,8066,13622,11009,14291
Cryptococcus neoformans,4366,2582,3932,2861,2469,2080,2352
Saccharomyces cerevisiae,3115,2850,2806,1976,2523,2258,2427
