species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus subtilis,25888,20402,21724,16374,20134,18717,20417
Staphylococcus aureus,22403,18139,23275,22481,33505,34043,35209
Listeria monocytogenes,16560,12837,16436,17319,25228,24725,25649
Enterococcus faecalis,30717,26033,31600,27668,32000,32585,34071
Limosilactobacillus fermentum,16048,13142,15290,18709,26247,24501,28988
Escherichia coli,48264,47562,42105,31172,35012,32988,38003
Salmonella enterica,40465,39387,35046,26224,33166,30971,36022
Pseudomonas aeruginosa,20094,20193,15577,14555,24680,22273,28066
Saccharomyces cerevisiae,6223,6982,6243,5137,5708,5573,6120
Cryptococcus neoformans,6170,4419,6595,4912,3987,3540,4089
