species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,19326,12458,14848,10213,13821,11490,12728
Bacillus inaquosorum,54,21,36,26,32,25,31
Bacillus subtilis,718,708,300,387,332,894,446
Bacillus vallismortis,27,22,19,NA,30,14,22
Bacillus stercoris,74,NA,NA,NA,NA,NA,NA
Bacillus rugosus,21,NA,18,NA,NA,18,NA
Staphylococcus aureus,11083,6699,9821,7843,14122,13176,13038
Staphylococcus argenteus,13,NA,NA,NA,14,NA,NA
Listeria monocytogenes,10425,6509,9167,8524,14293,12872,13222
Listeria innocua,36,32,60,22,32,56,39
Enterococcus faecalis,15132,9722,13534,9921,13752,12651,12773
Limosilactobacillus fermentum,7610,4180,5577,6604,9736,8106,9338
Actinomyces oris,18,10,16,NA,14,NA,NA
Salmonella enterica,26471,16082,17540,12503,16703,15034,16462
Salmonella bongori,13,NA,14,NA,NA,NA,NA
Escherichia coli,14350,12381,9931,7899,9722,6867,8470
Escherichia albertii,18,NA,13,NA,NA,NA,NA
Shigella flexneri,2094,NA,1257,NA,NA,NA,NA
Pseudomonas aeruginosa,9845,6979,5520,5628,9366,7227,9335
Pseudomonas sp. CIP-10,264,NA,115,119,NA,NA,NA
Burkholderia multivorans,11,NA,NA,NA,NA,NA,NA
