Sample	BP	Sh	F	Si	ISi
ZC1_S4	0.10974539069359086	2.376844782679466	1.6882279951465815	0.9064807257005575	10.69298289032982
ZC2_S5	0.11194029850746269	2.3855771874590146	1.8024898110987242	0.9080314492295682	10.873282134195636
ZC3_S6	0.11948529411764706	2.2970168530930506	1.5211354579231242	0.8996952621895125	9.969618801948982
ZC4_S7	0.11543810848400557	2.298792625407114	1.6439069269809539	0.9004924047249159	10.049484134708974
ZP1_S20	0.12279069767441861	2.373955190969088	1.706100490848113	0.905939110475943	10.631411259875874
ZP2_S21	0.125	2.2869137941841307	1.5400408289263179	0.8978724642178348	9.791678535483014
ZP3_S22	0.10810810810810811	2.382681617680779	1.7293605262328506	0.9074385006248734	10.803627931169
