species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,8957,4571,5911,4026,5337,4110,4496
Bacillus inaquosorum,26,1,9,4,9,5,6
Bacillus subtilis,172,144,93,47,81,381,54
Bacillus halotolerans,3,NA,7,3,3,NA,3
Bacillus mojavensis,3,3,NA,NA,3,NA,NA
Bacillus vallismortis,11,2,6,2,8,5,6
Bacillus stercoris,16,NA,NA,NA,NA,13,5
Bacillus tequilensis,2,3,6,NA,NA,NA,1
Bacillus atrophaeus,2,NA,3,1,NA,NA,1
Bacillus sp. FSL R5-0560,5,NA,NA,NA,NA,NA,NA
Bacillus rugosus,5,NA,4,1,1,3,2
Bacillus cabrialesii,2,NA,2,2,NA,NA,2
Priestia koreensis,1,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,5028,2514,4102,3011,5716,5066,4735
Staphylococcus agnetis,4,2,1,2,2,2,1
Staphylococcus argenteus,2,1,1,5,5,3,NA
Staphylococcus epidermidis,1,NA,1,1,3,NA,NA
Staphylococcus simiae,1,NA,NA,NA,1,NA,NA
Staphylococcus croceilyticus,5,NA,NA,NA,NA,NA,NA
Staphylococcus warneri,1,NA,NA,1,NA,NA,NA
Staphylococcus schweitzeri,1,NA,NA,NA,4,1,2
Staphylococcus kloosii,1,NA,NA,NA,NA,NA,NA
Listeria monocytogenes,4717,2330,3731,3046,5769,4733,4816
Listeria innocua,20,38,21,77,12,42,42
Listeria welshimeri,6,3,2,5,3,2,9
Listeria swaminathanii,4,10,2,20,6,NA,7
Listeria seeligeri,3,3,NA,6,3,2,NA
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,1,NA,NA,1,NA,1,NA
Enterococcus faecalis,6913,3558,5484,3673,5543,4776,4720
Candidatus Enterococcus dunnyi,2,1,NA,NA,NA,NA,1
Enterococcus sp. DIV0849a,1,NA,NA,1,NA,1,1
Enterococcus rotai,1,NA,NA,NA,NA,NA,NA
Enterococcus saccharolyticus,1,NA,NA,NA,NA,NA,NA
Candidatus Enterococcus lemimoniae,1,NA,NA,NA,NA,NA,NA
Limosilactobacillus fermentum,3592,1438,2140,2533,3600,2921,3349
Limosilactobacillus mucosae,1,NA,NA,NA,2,NA,1
Lactiplantibacillus plantarum,4,NA,2,1,NA,2,2
Pediococcus pentosaceus,1,NA,NA,NA,NA,NA,NA
Nicoliella spurrieriana,1,NA,NA,NA,NA,NA,NA
Clostridioides difficile,4,NA,NA,NA,NA,NA,NA
Actinomyces oris,10,5,8,3,8,3,4
Corynebacterium guangdongense,2,NA,NA,NA,NA,NA,NA
Salmonella enterica,12254,5564,6846,4899,5940,5456,5802
Salmonella bongori,9,2,7,2,2,1,NA
Escherichia coli,6445,4347,3645,2655,3924,2195,2729
Escherichia sp. E4742,1,NA,5,NA,2,NA,1
Escherichia sp. F1,12,NA,NA,NA,13,NA,NA
Escherichia albertii,9,3,6,2,1,1,NA
Escherichia fergusonii,6,NA,4,3,NA,1,1
Escherichia marmotae,3,2,NA,NA,NA,1,1
Shigella flexneri,881,49,458,123,33,78,83
Shigella dysenteriae,47,7,16,33,18,NA,NA
Shigella boydii,16,14,16,69,38,NA,23
Klebsiella pneumoniae,14,11,8,NA,NA,NA,7
Klebsiella michiganensis,1,NA,NA,NA,NA,NA,2
Klebsiella aerogenes,1,NA,NA,NA,NA,NA,NA
Citrobacter werkmanii,4,NA,NA,NA,2,NA,NA
Citrobacter braakii,4,NA,NA,NA,NA,NA,4
Citrobacter sp. R56,2,NA,1,1,NA,NA,NA
Enterobacter cloacae complex sp. Mu1197,2,NA,NA,NA,NA,NA,NA
Enterobacter roggenkampii,1,NA,NA,NA,NA,NA,NA
Enterobacter asburiae,2,NA,1,2,NA,NA,NA
Enterobacter pseudoroggenkampii,1,NA,NA,NA,NA,NA,NA
Enterobacter mori,1,NA,NA,NA,NA,NA,NA
Yokenella regensburgei,4,NA,NA,NA,NA,NA,NA
Kluyvera sichuanensis,1,NA,NA,NA,NA,NA,NA
Kluyvera ascorbata,1,NA,NA,NA,NA,NA,NA
Phytobacter ursingii,2,NA,NA,NA,NA,NA,NA
Pseudocitrobacter corydidari,1,NA,NA,NA,NA,NA,NA
Trabulsiella odontotermitis,1,NA,NA,NA,NA,NA,NA
secondary endosymbiont of Trabutina mannipara,1,NA,NA,NA,NA,NA,NA
Erwinia sp. HDF1-3R,1,NA,1,NA,NA,NA,NA
Erwinia pyrifoliae,1,NA,NA,NA,1,NA,NA
Erwinia rhapontici,1,NA,NA,NA,NA,NA,NA
Pantoea rwandensis,1,NA,NA,NA,NA,NA,NA
Paramixta manurensis,1,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,4714,2145,2043,2312,3377,2433,3163
Pseudomonas citronellolis,2,NA,NA,NA,NA,NA,NA
Pseudomonas sp. NY8938,13,NA,NA,NA,NA,NA,NA
Pseudomonas cremoricolorata,1,NA,NA,NA,NA,NA,NA
Pseudomonas entomophila,1,NA,NA,NA,NA,NA,NA
Pseudomonas grandcourensis,1,NA,NA,NA,NA,NA,NA
Alloalcanivorax venustensis,1,NA,NA,NA,NA,NA,NA
Devosia sp. I507,1,NA,NA,NA,NA,NA,NA
Lichenicola cladoniae,1,NA,NA,NA,NA,NA,NA
Cryptococcus neoformans,1399,552,900,734,564,457,525
Cryptococcus tetragattii,4,NA,7,NA,NA,NA,2
Saccharomyces cerevisiae,937,629,704,442,644,495,506
Saccharomyces paradoxus,7,2,3,3,2,2,1
Rhizophagus irregularis,1,NA,NA,NA,NA,NA,NA
Homo sapiens,1,NA,NA,NA,4,3,2
Juglans regia,6,6,1,4,2,2,2
Gossypium raimondii,1,NA,NA,NA,NA,NA,NA
Helianthus annuus,1,NA,NA,NA,NA,NA,NA
