species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,31623,27125,28584,21268,26464,24527,26851
Bacillus subtilis,1680,NA,NA,NA,NA,NA,NA
Bacillus inaquosorum,83,NA,NA,NA,75,NA,NA
Bacillus vallismortis,59,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,18129,13306,17979,16021,25551,25185,25766
Listeria monocytogenes,17299,12920,16792,17275,26040,24686,25620
Enterococcus faecalis,25376,19462,25009,20308,24990,24818,25715
Limosilactobacillus fermentum,12513,8843,10806,13019,18692,16673,19638
Salmonella enterica,44929,33888,34400,25670,32785,30751,34253
Escherichia coli,26080,26092,21704,15170,17851,14697,17734
Pseudomonas aeruginosa,16275,14874,11165,10696,18288,15506,19737
