species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,38932,33721,33662,26941,32470,30857,33570
Bacillus subtilis,5413,5735,7471,4283,4449,4657,5285
Bacillus vallismortis,122,134,142,64,101,93,105
Bacillus inaquosorum,129,136,122,83,106,87,106
Bacillus stercoris,134,NA,115,NA,NA,NA,NA
Bacillus rugosus,56,52,48,NA,NA,NA,NA
Staphylococcus aureus,26510,19387,25462,24059,36864,37762,38532
Listeria monocytogenes,22872,19075,23456,24953,35140,35321,37121
Listeria innocua,148,103,157,138,196,199,184
Listeria welshimeri,50,NA,46,NA,59,51,49
Listeria swaminathanii,46,NA,65,63,76,57,56
Enterococcus faecalis,33252,27811,36017,29785,34629,34989,36726
Limosilactobacillus fermentum,16571,13137,15575,18943,26832,24634,29224
Salmonella enterica,49158,45659,43383,31417,40946,38855,39845
Salmonella bongori,45,NA,NA,NA,NA,NA,NA
Escherichia coli,33427,38402,28633,21010,23691,19817,25458
Escherichia albertii,71,47,55,NA,45,NA,NA
Shigella flexneri,943,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,23506,20197,16068,15166,26575,22543,32437
Cryptococcus neoformans,7455,5452,8089,5881,4755,4223,4906
Saccharomyces cerevisiae,6819,7619,6630,6243,6041,6980,5575
Saccharomyces paradoxus,74,59,67,NA,58,50,51
