species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,39588,34272,33589,28368,34339,31452,35588
Bacillus subtilis,4078,4423,6368,2229,1893,3319,2540
Bacillus inaquosorum,128,159,142,103,119,102,118
Bacillus vallismortis,127,156,154,NA,118,106,105
Bacillus rugosus,55,54,54,NA,NA,54,NA
Staphylococcus aureus,23727,18926,24338,22974,34933,35384,36480
Listeria monocytogenes,22521,18676,23400,25039,35274,35086,36474
Listeria innocua,321,134,237,298,289,423,413
Listeria welshimeri,55,NA,49,NA,57,54,57
Listeria swaminathanii,55,NA,72,73,79,73,68
Enterococcus faecalis,32983,27567,33881,29068,34026,34546,36093
Limosilactobacillus fermentum,16137,12784,15059,18177,25972,23824,28169
Salmonella enterica,51467,48791,41084,32306,39844,39105,44054
Salmonella bongori,69,212,47,NA,NA,NA,NA
Escherichia coli,37777,38350,37320,25200,30196,25405,30642
Escherichia albertii,91,60,64,46,49,NA,NA
Escherichia marmotae,57,NA,NA,NA,NA,NA,NA
Shigella flexneri,2216,NA,NA,NA,NA,NA,NA
Shigella dysenteriae,203,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,20853,20365,15671,14568,25871,22910,28809
Pseudomonas sp. CIP-10,580,350,415,449,NA,NA,NA
Homo sapiens,42,NA,NA,NA,47,59,47
