species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41302,36304,36299,30569,36122,35049,37775
Bacillus velezensis,286,283,180,224,445,132,423
Bacillus amyloliquefaciens,39,NA,NA,NA,133,135,211
Bacillus subtilis,4657,6031,7153,3565,1978,3261,3428
Bacillus inaquosorum,165,194,165,131,134,114,149
Bacillus halotolerans,76,73,60,67,51,66,86
Bacillus mojavensis,23,28,17,NA,23,33,23
Bacillus vallismortis,163,187,163,70,120,106,142
Bacillus tequilensis,37,31,46,36,32,27,42
Bacillus atrophaeus,31,29,30,25,29,34,30
Bacillus stercoris,28,34,16,NA,23,26,39
Bacillus cereus,197,267,175,171,449,126,368
Bacillus sp. PPSBB_11,78,145,NA,NA,242,NA,113
Bacillus rugosus,63,62,66,50,40,58,56
Bacillus cabrialesii,41,33,35,18,33,35,39
Staphylococcus aureus,24902,20545,26161,25601,36728,38366,39154
Staphylococcus argenteus,41,25,43,41,51,63,34
Staphylococcus schweitzeri,20,15,29,22,32,43,42
Staphylococcus simiae,12,10,16,10,16,20,14
Staphylococcus epidermidis,11,7,11,8,20,15,8
Staphylococcus hominis,8,6,NA,NA,7,8,11
Staphylococcus lugdunensis,7,NA,NA,NA,8,NA,8
Staphylococcus arlettae,5,NA,NA,NA,NA,5,NA
Staphylococcus saccharolyticus,5,5,NA,NA,5,5,NA
Staphylococcus warneri,6,NA,6,NA,NA,7,NA
Listeria monocytogenes,24277,20488,25616,28065,37789,38489,40866
Listeria innocua,282,172,242,361,377,521,356
Listeria welshimeri,58,36,53,31,65,60,56
Listeria swaminathanii,53,40,75,74,97,91,67
Listeria seeligeri,32,24,32,22,44,44,29
Listeria ivanovii,25,22,81,31,150,100,142
Paenibacillus sp. FSL W8-0194,12,13,11,6,6,NA,11
Enterococcus faecalis,35168,30509,36986,32797,36828,37929,39843
Candidatus Enterococcus dunnyi,10,10,9,NA,7,8,11
Enterococcus sp. DIV0212c,6,NA,7,NA,6,8,NA
Enterococcus rotai,6,NA,NA,NA,NA,7,NA
Limosilactobacillus fermentum,17291,14329,16661,20465,28256,26674,31554
Lactiplantibacillus plantarum,7,NA,6,NA,NA,7,8
Actinomyces oris,16,16,21,9,14,9,11
Salmonella enterica,52272,54640,48039,35942,43279,41804,48572
Salmonella bongori,69,205,51,24,141,373,23
Salmonella sp. HY31,13,NA,NA,NA,21,NA,NA
Escherichia coli,43616,39950,36652,26917,31790,27213,33508
Escherichia albertii,92,64,63,47,53,41,41
Escherichia marmotae,57,30,34,29,20,18,30
Escherichia sp. E4742,44,24,37,13,16,12,22
Escherichia fergusonii,80,43,53,34,38,36,36
Shigella flexneri,1760,1906,1485,1252,562,2343,873
Shigella dysenteriae,182,238,205,198,115,122,161
Shigella boydii,280,259,222,159,313,173,276
Shigella sonnei,53,739,90,78,67,123,63
Klebsiella pneumoniae,100,77,82,100,41,51,71
Raoultella ornithinolytica,8,NA,11,NA,NA,NA,NA
Citrobacter portucalensis,32,15,NA,NA,NA,NA,NA
Citrobacter freundii,41,42,56,51,NA,62,46
Citrobacter sp. RHB25-C09,9,NA,NA,5,8,NA,6
Citrobacter rodentium,6,NA,NA,NA,5,NA,NA
Citrobacter koseri,11,NA,NA,NA,NA,NA,11
Enterobacter asburiae,29,NA,9,NA,NA,20,NA
Enterobacter roggenkampii,12,NA,NA,NA,NA,NA,NA
Leclercia adecarboxylata,13,NA,NA,NA,NA,NA,9
Kosakonia cowanii,13,NA,NA,NA,NA,8,NA
Yokenella regensburgei,5,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,22857,23228,17853,16789,28337,25753,32473
Pseudomonas paraeruginosa,25,NA,NA,NA,NA,NA,NA
Pseudomonas chlororaphis,12,NA,NA,NA,NA,NA,NA
Pseudomonas fluorescens,9,NA,NA,NA,NA,NA,NA
Vibrio anguillarum,5,NA,NA,NA,NA,NA,9
Cryptococcus neoformans,8015,6170,8943,6680,5251,4817,5582
Cryptococcus tetragattii,40,42,56,30,19,13,19
Cryptococcus decagattii,8,NA,8,NA,9,NA,NA
Saccharomyces cerevisiae,5880,6673,5948,4959,5442,5359,5853
Saccharomyces paradoxus,30,50,56,33,39,38,51
Saccharomyces mikatae,8,5,11,11,9,11,5
Saccharomyces eubayanus,6,7,NA,5,9,NA,7
Homo sapiens,65,48,77,53,77,79,85
Juglans regia,30,46,31,27,39,36,30
Capsicum annuum,8,NA,7,NA,NA,NA,5
Musa acuminata,13,NA,NA,NA,NA,NA,NA
Miscanthus floridulus,6,NA,NA,6,5,NA,NA
Cryptomeria japonica,11,13,19,12,6,18,10
