#0	../fragmentation_folder/processed_data/metagenomic/bracken/DE3_S7.bracken (139054 reads)
#1	../fragmentation_folder/processed_data/metagenomic/bracken/DE4_S8.bracken (155155 reads)
#2	../fragmentation_folder/processed_data/metagenomic/bracken/DT3_S15.bracken (181898 reads)
#3	../fragmentation_folder/processed_data/metagenomic/bracken/DT4_S16.bracken (167553 reads)
x	0	1	2	3
0	0.000	0.058	0.136	0.096
1	x.xxx	0.000	0.083	0.043
2	x.xxx	x.xxx	0.000	0.047
3	x.xxx	x.xxx	x.xxx	0.000
