species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,7742,4270,5504,3940,5175,4224,4580
Bacillus subtilis,426,321,134,NA,NA,151,NA
Bacillus inaquosorum,19,NA,10,NA,NA,8,NA
Bacillus vallismortis,11,NA,9,NA,NA,8,NA
Bacillus stercoris,33,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,4610,2432,3715,2916,5336,4770,4707
Listeria monocytogenes,4101,2269,3425,2929,5400,4606,4725
Listeria innocua,78,NA,23,60,6,15,15
Enterococcus faecalis,6272,3489,5046,3701,5149,4655,4554
Limosilactobacillus fermentum,3093,1451,2053,2440,3416,2845,3233
Salmonella enterica,11341,6198,8009,4816,6432,5337,6062
Salmonella bongori,5,NA,NA,NA,NA,NA,NA
Escherichia coli,6300,3385,2702,2827,3176,2417,2707
Escherichia albertii,8,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,4223,2532,1962,2188,3334,2423,3218
Cryptococcus neoformans,1279,554,895,717,550,484,524
Saccharomyces cerevisiae,863,614,666,445,589,493,533
Saccharomyces paradoxus,6,NA,NA,NA,NA,NA,NA
