species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Escherichia coli,46884,45341,40329,29710,33776,31487,36386
Salmonella enterica,39049,37210,33235,24759,31666,29318,34000
Pseudomonas aeruginosa,19444,19112,14806,13841,23619,21117,26577
Bacillus subtilis,22067,16879,18076,13419,16695,15425,16847
Staphylococcus aureus,21794,17405,22439,21338,32389,32703,33701
Listeria monocytogenes,15031,11473,14830,15275,22706,22051,22817
Enterococcus faecalis,29830,24864,30281,26153,30835,31177,32467
Limosilactobacillus fermentum,15559,12482,14609,17738,25264,23346,27536
Saccharomyces cerevisiae,6044,6672,6021,4869,5467,5359,5847
Cryptococcus neoformans,5740,4021,6116,4526,3696,3264,3737
