#0	../exposure_folder1/processed_data/metagenomic/bracken/D1RP_S9.bracken (18811 reads)
#1	../exposure_folder1/processed_data/metagenomic/bracken/D1SG_S1.bracken (26179 reads)
#2	../exposure_folder1/processed_data/metagenomic/bracken/D2RP_S10.bracken (94785 reads)
#3	../exposure_folder1/processed_data/metagenomic/bracken/D2SG_S2.bracken (19647 reads)
x	0	1	2	3
0	0.000	0.712	0.745	0.675
1	x.xxx	0.000	0.849	0.559
2	x.xxx	x.xxx	0.000	0.762
3	x.xxx	x.xxx	x.xxx	0.000
