species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,27433,20094,22536,16364,21384,18508,21032
Bacillus subtilis,1259,1898,998,827,635,1623,689
Bacillus inaquosorum,68,43,56,42,62,37,53
Bacillus vallismortis,47,36,33,17,43,26,44
Bacillus stercoris,122,NA,122,NA,94,NA,NA
Bacillus rugosus,31,NA,35,NA,22,25,NA
Bacillus cabrialesii,23,NA,20,NA,NA,NA,NA
Staphylococcus aureus,15799,11000,15085,12929,21736,20853,21101
Staphylococcus argenteus,18,NA,14,NA,17,13,NA
Listeria monocytogenes,15025,10508,14152,13881,21936,20419,21092
Listeria innocua,53,46,87,46,40,84,71
Enterococcus faecalis,22001,15850,20945,16302,21137,20381,20929
Limosilactobacillus fermentum,10846,7030,8837,10510,15413,13367,15564
Actinomyces oris,24,12,17,NA,19,13,NA
Salmonella enterica,37679,27234,27850,20597,26945,24420,27432
Salmonella bongori,19,NA,15,NA,NA,NA,NA
Escherichia coli,21131,20570,16542,12278,14995,11853,14140
Escherichia albertii,20,15,16,NA,NA,NA,NA
Shigella flexneri,2557,NA,1592,NA,NA,NA,NA
Shigella dysenteriae,109,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,13745,11874,8929,8603,14801,12266,15679
Pseudomonas sp. CIP-10,361,NA,219,211,143,NA,132
Burkholderia multivorans,16,NA,NA,NA,NA,NA,NA
Homo sapiens,17,13,15,13,30,25,28
