species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,16708,10471,12402,8627,11586,9487,10597
Bacillus inaquosorum,55,19,33,23,25,16,23
Bacillus subtilis,623,509,491,271,356,780,384
Bacillus halotolerans,26,NA,NA,NA,NA,NA,NA
Bacillus vallismortis,19,20,13,NA,23,13,13
Bacillus atrophaeus,6,NA,6,NA,NA,NA,NA
Bacillus tequilensis,6,6,9,NA,NA,NA,NA
Bacillus rugosus,18,NA,11,NA,NA,9,NA
Bacillus cabrialesii,10,NA,8,NA,NA,NA,7
Staphylococcus aureus,9600,5655,8430,6657,12050,11132,10984
Staphylococcus argenteus,11,10,7,8,10,NA,NA
Listeria monocytogenes,8938,5431,7727,6976,12067,10712,10962
Listeria innocua,35,25,48,31,30,41,41
Listeria welshimeri,7,NA,NA,NA,7,NA,7
Enterococcus faecalis,13090,8099,11412,8306,11601,10645,10673
Candidatus Enterococcus dunnyi,5,NA,NA,NA,NA,NA,NA
Limosilactobacillus fermentum,6607,3462,4674,5580,8113,6833,7761
Actinomyces oris,13,7,12,5,9,7,5
Salmonella enterica,22792,13211,14879,10387,14002,12438,13500
Salmonella bongori,11,NA,13,NA,NA,5,NA
Escherichia coli,12959,10532,8364,6517,8200,5853,7228
Escherichia albertii,13,10,11,8,NA,NA,NA
Escherichia fergusonii,11,NA,NA,111,NA,NA,NA
Escherichia marmotae,6,NA,NA,NA,NA,NA,NA
Shigella flexneri,1212,NA,970,NA,NA,NA,NA
Shigella dysenteriae,87,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,8682,5451,4601,4835,7826,5950,7722
Cryptococcus neoformans,2712,1357,2179,1600,1339,1112,1241
Cryptococcus tetragattii,14,NA,13,NA,NA,NA,NA
Saccharomyces cerevisiae,1916,1494,1555,1067,1420,1204,1307
Saccharomyces paradoxus,11,5,13,7,12,NA,6
Homo sapiens,5,NA,5,NA,8,10,10
Juglans regia,13,18,9,8,13,NA,15
