species,DE3_S7,DE4_S8,DT3_S15,DT4_S16
Staphylococcus aureus,21145,21363,24973,23842
Staphylococcus argenteus,21,17,16,18
Staphylococcus schweitzeri,17,25,16,16
Staphylococcus saprophyticus,11,14,NA,NA
Staphylococcus simiae,10,NA,NA,NA
Listeria monocytogenes,19779,20639,23899,22700
Listeria innocua,229,223,472,260
Listeria welshimeri,43,23,32,17
Listeria swaminathanii,23,37,43,25
Listeria seeligeri,26,34,27,28
Listeria ivanovii,20,25,12,18
Bacillus spizizenii,18766,20631,21627,22209
Bacillus subtilis,437,804,3614,683
Bacillus inaquosorum,39,35,38,29
Bacillus vallismortis,21,42,49,29
Bacillus atrophaeus,13,NA,NA,NA
Bacillus stercoris,34,47,37,45
Bacillus rugosus,27,13,21,12
Enterococcus faecalis,19422,20291,23589,22308
Limosilactobacillus fermentum,12707,14808,17898,15823
Actinomyces oris,15,23,17,11
Salmonella enterica,22550,25540,28856,28644
Escherichia coli,10801,13815,17863,13890
Escherichia albertii,17,23,14,14
Escherichia marmotae,12,12,15,NA
Shigella dysenteriae,98,90,66,92
Shigella flexneri,399,679,500,501
Klebsiella pneumoniae,54,NA,78,NA
Pseudomonas aeruginosa,11894,15483,17552,15851
Pseudomonas sp. CIP-10,128,95,184,112
Burkholderia multivorans,14,22,21,17
Homo sapiens,44,22,48,49
