species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41221,36183,36142,30482,36021,34905,37668
Bacillus velezensis,272,285,168,203,447,132,426
Bacillus amyloliquefaciens,40,NA,NA,NA,133,134,202
Bacillus subtilis,4643,5892,7070,3440,1892,3157,3413
Bacillus inaquosorum,157,191,158,121,134,110,143
Bacillus halotolerans,76,64,55,56,51,63,83
Bacillus mojavensis,23,27,17,NA,23,33,23
Bacillus vallismortis,157,179,159,63,120,104,131
Bacillus tequilensis,37,29,44,35,32,26,42
Bacillus atrophaeus,31,26,28,22,27,33,29
Bacillus stercoris,28,34,NA,NA,NA,22,33
Bacillus cereus,198,253,173,172,450,126,371
Bacillus rugosus,61,62,62,45,39,56,52
Bacillus cabrialesii,40,30,34,18,32,34,39
Staphylococcus aureus,24827,20454,26047,25473,36590,38207,39013
Staphylococcus argenteus,40,25,43,41,51,63,34
Staphylococcus schweitzeri,20,15,29,20,32,43,40
Staphylococcus simiae,12,10,16,10,16,20,13
Staphylococcus epidermidis,11,7,11,8,19,15,8
Staphylococcus hominis,8,6,NA,NA,7,8,11
Staphylococcus lugdunensis,7,NA,NA,NA,8,NA,8
Staphylococcus arlettae,5,NA,NA,NA,NA,5,NA
Staphylococcus saccharolyticus,5,5,NA,NA,5,5,NA
Staphylococcus warneri,6,NA,NA,NA,NA,7,NA
Listeria monocytogenes,24148,20355,25431,27859,37603,38255,40600
Listeria innocua,278,168,237,336,377,498,348
Listeria welshimeri,57,36,53,30,65,58,53
Listeria swaminathanii,52,40,74,74,93,83,67
Listeria seeligeri,32,23,30,22,44,40,26
Listeria ivanovii,25,22,80,28,148,98,143
Paenibacillus sp. FSL W8-0194,12,13,10,6,6,NA,11
Enterococcus faecalis,34952,30256,36696,32505,36610,37638,39565
Candidatus Enterococcus dunnyi,9,10,9,NA,7,8,10
Enterococcus sp. DIV0212c,6,NA,7,NA,6,8,NA
Enterococcus rotai,6,NA,NA,NA,NA,7,NA
Limosilactobacillus fermentum,17230,14257,16572,20363,28145,26518,31420
Lactiplantibacillus plantarum,6,NA,5,NA,NA,7,8
Actinomyces oris,16,16,21,9,14,9,11
Salmonella enterica,52208,54381,47717,35757,43104,41506,48434
Salmonella bongori,69,204,51,23,141,375,22
Salmonella sp. HY31,13,NA,NA,NA,21,NA,NA
Escherichia coli,43384,39810,36542,26802,31699,27309,33299
Escherichia albertii,92,63,63,47,52,41,40
Escherichia marmotae,57,30,33,28,20,18,30
Escherichia sp. E4742,44,24,37,12,16,12,22
Escherichia fergusonii,81,42,53,34,38,36,37
Shigella flexneri,1774,1864,1487,1254,562,2197,881
Shigella dysenteriae,184,232,205,198,115,123,163
Shigella boydii,282,260,222,145,313,174,279
Shigella sonnei,54,740,90,78,67,124,64
Klebsiella pneumoniae,100,77,82,99,41,50,70
Raoultella ornithinolytica,8,NA,11,NA,NA,NA,NA
Citrobacter portucalensis,32,15,NA,NA,NA,NA,NA
Citrobacter freundii,41,36,56,51,NA,61,46
Citrobacter sp. RHB25-C09,9,NA,NA,5,8,NA,6
Citrobacter rodentium,6,NA,NA,NA,5,NA,NA
Citrobacter koseri,11,NA,NA,NA,NA,NA,11
Enterobacter roggenkampii,12,NA,NA,NA,NA,NA,NA
Enterobacter asburiae,27,NA,9,NA,NA,20,NA
Leclercia adecarboxylata,13,NA,NA,NA,NA,NA,9
Kosakonia cowanii,13,NA,NA,NA,NA,8,NA
Yokenella regensburgei,5,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,22797,23119,17781,16726,28236,25650,32358
Pseudomonas paraeruginosa,25,NA,NA,NA,NA,NA,NA
Pseudomonas chlororaphis,12,NA,NA,NA,NA,NA,NA
Pseudomonas fluorescens,9,NA,NA,NA,NA,NA,NA
Vibrio anguillarum,5,NA,NA,NA,NA,NA,9
Cryptococcus neoformans,7937,6073,8801,6573,5182,4749,5495
Cryptococcus tetragattii,40,36,52,25,18,12,15
Cryptococcus decagattii,8,NA,6,NA,9,NA,NA
Saccharomyces cerevisiae,5802,6560,5829,4846,5349,5258,5751
Saccharomyces paradoxus,29,46,55,30,39,36,49
Saccharomyces mikatae,7,5,11,9,8,10,5
Saccharomyces eubayanus,5,7,NA,5,9,NA,6
Homo sapiens,56,42,65,47,67,74,76
Juglans regia,36,47,30,26,40,37,30
Capsicum annuum,6,NA,6,NA,NA,NA,NA
Miscanthus floridulus,5,NA,NA,NA,5,NA,NA
Cryptomeria japonica,9,12,15,9,NA,14,7
