species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,39681,34709,34511,27910,33186,31660,34663
Bacillus subtilis,5641,6170,7884,4564,4727,5058,5589
Bacillus inaquosorum,137,145,126,87,108,92,112
Bacillus vallismortis,124,139,147,65,105,98,105
Bacillus stercoris,141,NA,120,NA,NA,NA,NA
Bacillus rugosus,56,57,51,NA,NA,NA,NA
Staphylococcus aureus,27027,19936,26110,24911,37732,39713,39752
Listeria monocytogenes,23384,19684,24121,25912,35994,36441,38375
Listeria innocua,153,105,162,144,200,205,190
Listeria welshimeri,50,NA,49,NA,64,51,49
Listeria swaminathanii,46,NA,68,66,78,60,56
Enterococcus faecalis,33968,28754,37072,30967,35576,36037,37941
Limosilactobacillus fermentum,16950,13656,16129,19744,27673,25588,30348
Salmonella enterica,50302,47312,44751,32567,42053,40000,41389
Salmonella bongori,45,NA,NA,NA,NA,NA,NA
Escherichia coli,34202,39941,29687,21770,24406,20216,26411
Escherichia albertii,72,48,55,NA,45,NA,NA
Shigella flexneri,960,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,24062,21042,16689,15747,27465,23350,33694
Cryptococcus neoformans,7662,5680,8395,6117,4928,4394,5113
Saccharomyces cerevisiae,7013,7911,6902,6526,6230,7070,5831
Saccharomyces paradoxus,74,60,72,NA,59,51,52
