species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40340,35366,34470,29404,35192,32450,36341
Bacillus subtilis,4299,4732,6708,2404,2006,3513,3176
Bacillus inaquosorum,135,170,147,109,121,108,122
Bacillus vallismortis,128,166,157,NA,123,116,106
Bacillus rugosus,56,59,56,NA,NA,54,NA
Staphylococcus aureus,24166,19466,24933,23792,35760,36388,37610
Listeria monocytogenes,23053,19262,24074,25995,36165,36208,37719
Listeria innocua,327,151,244,311,295,433,420
Listeria welshimeri,56,NA,51,NA,62,54,57
Listeria swaminathanii,55,NA,74,76,81,77,68
Enterococcus faecalis,33676,28506,34861,30187,34944,35645,37264
Limosilactobacillus fermentum,16495,13280,15581,18915,26756,24760,29218
Salmonella enterica,52702,49606,42541,33563,41015,40528,46156
Salmonella bongori,69,206,47,NA,NA,NA,NA
Escherichia coli,38715,39183,38630,26204,31106,26282,31497
Escherichia albertii,91,61,64,47,49,NA,NA
Escherichia marmotae,57,NA,NA,NA,NA,NA,NA
Shigella flexneri,2250,1788,NA,NA,NA,NA,NA
Shigella dysenteriae,206,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,21344,21211,16289,15062,26718,23850,29671
Pseudomonas sp. CIP-10,616,365,435,507,NA,NA,350
Homo sapiens,55,NA,52,NA,57,66,61
