Sample	BP	Sh	F	Si	ISi
ZC1_S4	0.213501750931406	2.135431824923758	3.20219845348036	0.8650027296582861	7.407557185924832
ZC2_S5	0.19809892202281892	2.101681912177536	1.9786499176883106	0.863078672561927	7.303464103883173
ZC3_S6	0.19508271901544863	2.108881991196026	2.7579743855127066	0.8647057024103013	7.391294517324429
ZC4_S7	0.17380361154749235	2.1511611340640022	2.0022673277980183	0.8738931165170759	7.929781248899137
ZP1_S20	0.15515993716649115	2.1253114261614754	2.3211496309478443	0.8748727322713824	7.991863149835981
ZP2_S21	0.1588827328459496	2.114898577995787	1.6627973362632664	0.8725108004840674	7.8438017008258605
ZP3_S22	0.15678613589649862	2.122798838487718	2.0325699946508804	0.8748823600259226	7.992478120648579
