species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40112,35269,35131,28455,33469,32258,35349
Bacillus velezensis,244,194,94,141,177,NA,246
Bacillus subtilis,5707,6239,8095,4795,4536,5308,5615
Bacillus vallismortis,132,145,151,68,105,101,111
Bacillus inaquosorum,144,153,134,90,112,98,122
Bacillus halotolerans,70,74,51,60,40,61,72
Bacillus stercoris,146,101,126,105,107,130,130
Bacillus tequilensis,43,33,53,46,40,32,56
Bacillus atrophaeus,30,29,26,19,21,31,26
Bacillus rugosus,57,59,56,28,34,49,47
Bacillus cabrialesii,40,32,29,15,27,34,31
Staphylococcus aureus,27388,20338,26553,25566,38325,40370,40604
Staphylococcus argenteus,18,16,29,29,30,36,21
Staphylococcus schweitzeri,15,13,20,NA,22,33,26
Staphylococcus saprophyticus,13,NA,15,NA,26,27,16
Listeria monocytogenes,23769,20195,24606,26664,36650,37362,39299
Listeria innocua,154,107,166,149,206,206,196
Listeria welshimeri,50,31,50,28,66,52,49
Listeria swaminathanii,46,32,69,66,82,63,57
Listeria seeligeri,26,17,25,21,36,39,24
Listeria ivanovii,21,17,22,27,48,41,42
Paenibacillus sp. FSL W8-0194,13,12,NA,NA,NA,NA,NA
Enterococcus faecalis,34526,29477,37767,31912,36254,36784,38944
Limosilactobacillus fermentum,17263,14048,16532,20342,28237,26307,31246
Salmonella enterica,51039,48324,45474,33354,42655,40423,42359
Salmonella bongori,46,170,39,23,112,149,19
Salmonella sp. WGH-01,41,29,44,NA,22,22,31
Escherichia coli,34467,40479,29654,22142,24509,20095,26798
Escherichia albertii,73,48,55,37,45,30,28
Escherichia sp. E4742,35,22,26,NA,NA,NA,13
Escherichia fergusonii,45,27,34,29,25,22,31
Escherichia marmotae,36,21,23,23,15,11,20
Shigella flexneri,957,400,360,333,410,1611,270
Shigella dysenteriae,144,118,146,113,73,73,117
Shigella boydii,262,190,183,NA,215,144,208
Shigella sonnei,83,NA,NA,NA,NA,95,NA
Klebsiella pneumoniae,137,107,97,160,86,69,167
Klebsiella aerogenes,11,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,24437,21638,17016,16139,27994,23906,34553
uncultured bacterium,47,49,38,56,57,45,56
Cryptococcus neoformans,7810,5880,8663,6361,5071,4563,5304
Saccharomyces cerevisiae,7138,8151,7907,6705,6382,7089,6030
Saccharomyces paradoxus,75,60,72,39,59,55,53
Lactuca sativa,28,NA,NA,NA,NA,NA,NA
