species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,31288,24704,27198,19998,25763,22288,25872
Bacillus velezensis,168,NA,NA,NA,NA,NA,NA
Bacillus halotolerans,71,40,37,NA,NA,NA,NA
Bacillus subtilis,1633,2333,1167,1271,627,2029,837
Bacillus inaquosorum,82,61,64,46,73,46,61
Bacillus vallismortis,59,44,43,24,45,32,54
Bacillus stercoris,147,81,181,NA,99,104,122
Bacillus atrophaeus,9,NA,12,9,6,NA,5
Bacillus tequilensis,8,10,16,9,NA,NA,NA
Bacillus rugosus,38,19,45,19,26,36,27
Bacillus cabrialesii,30,13,22,12,9,8,14
Staphylococcus aureus,18107,13281,17953,15993,25527,25134,25745
Staphylococcus argenteus,19,11,14,14,19,16,12
Staphylococcus saprophyticus,7,NA,9,7,18,24,11
Listeria monocytogenes,17264,12844,16743,17236,26005,24664,25597
Listeria innocua,57,56,94,59,46,99,103
Listeria seeligeri,13,35,33,NA,14,12,NA
Listeria welshimeri,11,7,11,9,13,11,18
Listeria swaminathanii,12,14,29,19,23,9,22
Paenibacillus sp. FSL W8-0194,5,9,NA,NA,NA,NA,NA
Enterococcus faecalis,25364,19446,24996,20293,24982,24798,25708
Enterococcus sp. 9D6_DIV0238,6,NA,NA,NA,NA,5,NA
Limosilactobacillus fermentum,12510,8840,10803,13015,18690,16667,19635
Actinomyces oris,26,15,20,8,21,13,13
Salmonella enterica,43785,33143,33742,24957,32406,29802,34097
Salmonella bongori,21,9,19,NA,8,11,7
Escherichia coli,24364,24277,20607,14022,17279,13535,17521
Escherichia albertii,22,20,18,16,10,7,12
Escherichia sp. E4742,11,NA,14,NA,NA,NA,NA
Escherichia fergusonii,19,14,11,138,13,10,11
Escherichia marmotae,11,8,NA,NA,NA,9,NA
Shigella flexneri,2747,2421,1739,1525,961,2142,359
Shigella dysenteriae,126,NA,NA,77,NA,NA,NA
Klebsiella pneumoniae,42,51,35,NA,NA,NA,NA
Pseudomonas aeruginosa,15886,14803,10909,10391,18120,15367,19571
Pseudomonas sp. CIP-10,421,38,285,325,177,133,178
Neptuniibacter halophilus,39,75,21,50,43,49,67
Shewanella aestuarii,10,NA,NA,NA,NA,10,12
Burkholderia multivorans,20,15,10,10,11,8,8
Homo sapiens,37,27,35,27,50,47,59
