species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,19390,12470,15145,10590,14131,11506,13171
Bacillus inaquosorum,54,NA,37,NA,33,NA,NA
Bacillus subtilis,726,710,NA,NA,NA,897,NA
Bacillus vallismortis,27,NA,NA,NA,30,NA,NA
Staphylococcus aureus,11095,6700,9829,7845,14127,13176,13041
Listeria monocytogenes,10426,6524,9168,8532,14298,12872,13223
Listeria innocua,36,NA,60,NA,32,56,39
Enterococcus faecalis,15137,9722,13539,9922,13753,12651,12774
Limosilactobacillus fermentum,7611,4180,5577,6605,9736,8106,9338
Salmonella enterica,27273,16082,18011,12507,16705,15034,16465
Escherichia coli,15604,12381,10692,7901,9723,6867,8471
Pseudomonas aeruginosa,9854,6979,5620,5734,9367,7227,9336
Pseudomonas sp. CIP-10,264,NA,NA,NA,NA,NA,NA
