Sample1	Sample2	Intersection	Union	Jaccard	N_Intersections
C03_S27_human	A01_S1_human	4937	386973	0.012758	26
C03_S27_human	A08_S8_human	1426	219988	0.00648217	9
C03_S27_human	B07_S19_human	0	23248	0	0
C03_S27_human	B08_S20_human	3557	500682	0.00710431	19
C03_S27_human	A05_S5_human	5198	437323	0.011886	27
C03_S27_human	A11_S11_human	1347	146274	0.00920875	6
C03_S27_human	B12_S24_human	3654	565001	0.00646725	18
C03_S27_human	A04_S4_human	3041	265416	0.0114575	15
C03_S27_human	B10_S22_human	3631	275767	0.0131669	20
C03_S27_human	C07_S31_human	0	25147	0	0
C03_S27_human	C11_S35_human	0	22214	0	0
B11_S23_human	B09_S21_human	52529	1401246	0.0374874	218
B11_S23_human	Blank_S38_human	128	850638	0.000150475	2
B11_S23_human	B03_S15_human	48	833318	5.76011e-05	1
B11_S23_human	A06_S6_human	7288	881781	0.00826509	23
B11_S23_human	A07_S7_human	2411	1493650	0.00161417	15
B11_S23_human	C04_S28_human	0	831751	0	0
B11_S23_human	A10_S10_human	8516	989086	0.00860997	50
B11_S23_human	A12_S12_human	20921	1078741	0.0193939	88
B11_S23_human	C01_S25_human	705	966510	0.000729429	6
B11_S23_human	A01_S1_human	38423	1164275	0.0330017	195
B11_S23_human	A08_S8_human	16519	1015683	0.0162639	86
B11_S23_human	B07_S19_human	241	833795	0.00028904	3
B11_S23_human	B08_S20_human	49005	1266022	0.0387079	197
B11_S23_human	A05_S5_human	37683	1215626	0.0309988	151
B11_S23_human	A11_S11_human	7028	951381	0.00738716	37
B11_S23_human	B12_S24_human	54467	1324976	0.0411079	226
B11_S23_human	A04_S4_human	25291	1053954	0.0239963	111
B11_S23_human	B10_S22_human	30267	1059919	0.028556	119
B11_S23_human	C07_S31_human	0	835935	0	0
B11_S23_human	C11_S35_human	0	833002	0	0
B09_S21_human	Blank_S38_human	0	641039	0	0
B09_S21_human	B03_S15_human	194	623445	0.000311174	1
B09_S21_human	A06_S6_human	5000	674342	0.00741464	26
B09_S21_human	A07_S7_human	2510	1283824	0.0019551	14
B09_S21_human	C04_S28_human	0	622024	0	0
B09_S21_human	A10_S10_human	6449	781426	0.00825286	33
B09_S21_human	A12_S12_human	18406	871529	0.0211192	87
B09_S21_human	C01_S25_human	588	756900	0.000776853	4
B09_S21_human	A01_S1_human	34074	958897	0.0355346	157
B09_S21_human	A08_S8_human	14648	807827	0.0181326	69
B09_S21_human	B07_S19_human	140	624169	0.000224298	2
B09_S21_human	B08_S20_human	44828	1060472	0.0422717	171
B09_S21_human	A05_S5_human	31647	1011935	0.0312737	135
B09_S21_human	A11_S11_human	7969	740713	0.0107586	42
B09_S21_human	B12_S24_human	43963	1125753	0.0390521	196
B09_S21_human	A04_S4_human	21296	848222	0.0251066	94
B09_S21_human	B10_S22_human	24489	855970	0.0286096	106
B09_S21_human	C07_S31_human	260	625948	0.00041537	1
B09_S21_human	C11_S35_human	0	623275	0	0
Blank_S38_human	B03_S15_human	0	20630	0	0
Blank_S38_human	A06_S6_human	0	76333	0	0
Blank_S38_human	A07_S7_human	308	683017	0.00045094	2
Blank_S38_human	C04_S28_human	0	19015	0	0
Blank_S38_human	A10_S10_human	0	184866	0	0
Blank_S38_human	A12_S12_human	170	286756	0.000592839	3
Blank_S38_human	C01_S25_human	0	154479	0	0
Blank_S38_human	A01_S1_human	0	389962	0	0
Blank_S38_human	A08_S8_human	0	219466	0	0
Blank_S38_human	B07_S19_human	0	21300	0	0
Blank_S38_human	B08_S20_human	142	502149	0.000282785	1
Blank_S38_human	A05_S5_human	0	440573	0	0
Blank_S38_human	A11_S11_human	0	145673	0	0
Blank_S38_human	B12_S24_human	0	566707	0	0
Blank_S38_human	A04_S4_human	0	266509	0	0
Blank_S38_human	B10_S22_human	0	277450	0	0
Blank_S38_human	C07_S31_human	0	23199	0	0
Blank_S38_human	C11_S35_human	0	20266	0	0
B03_S15_human	A06_S6_human	0	58933	0	0
B03_S15_human	A07_S7_human	0	665925	0	0
B03_S15_human	C04_S28_human	0	1615	0	0
B03_S15_human	A10_S10_human	0	167466	0	0
B03_S15_human	A12_S12_human	0	269526	0	0
B03_S15_human	C01_S25_human	0	137079	0	0
B03_S15_human	A01_S1_human	223	372339	0.000598917	1
B03_S15_human	A08_S8_human	65	202001	0.000321781	2
B03_S15_human	B07_S19_human	0	3900	0	0
B03_S15_human	B08_S20_human	0	484891	0	0
B03_S15_human	A05_S5_human	0	423173	0	0
B03_S15_human	A11_S11_human	0	128273	0	0
B03_S15_human	B12_S24_human	4	549303	7.28196e-06	1
B03_S15_human	A04_S4_human	0	249109	0	0
B03_S15_human	B10_S22_human	0	260050	0	0
B03_S15_human	C07_S31_human	0	5799	0	0
B03_S15_human	C11_S35_human	0	2866	0	0
A06_S6_human	A07_S7_human	734	720894	0.00101818	8
A06_S6_human	C04_S28_human	0	57318	0	0
A06_S6_human	A10_S10_human	1094	222075	0.00492626	6
A06_S6_human	A12_S12_human	4200	321029	0.0130829	14
A06_S6_human	C01_S25_human	0	192782	0	0
A06_S6_human	A01_S1_human	3346	424919	0.00787444	15
A06_S6_human	A08_S8_human	1814	255955	0.00708718	9
A06_S6_human	B07_S19_human	0	59603	0	0
A06_S6_human	B08_S20_human	4965	535629	0.00926948	20
A06_S6_human	A05_S5_human	3549	475327	0.00746644	16
A06_S6_human	A11_S11_human	1553	182423	0.00851318	8
A06_S6_human	B12_S24_human	6132	598878	0.0102391	17
A06_S6_human	A04_S4_human	2361	302451	0.00780622	10
A06_S6_human	B10_S22_human	3865	311888	0.0123923	11
A06_S6_human	C07_S31_human	0	61502	0	0
A06_S6_human	C11_S35_human	0	58569	0	0
A07_S7_human	C04_S28_human	0	664310	0	0
A07_S7_human	A10_S10_human	1614	828547	0.00194799	5
A07_S7_human	A12_S12_human	1441	930780	0.00154816	11
A07_S7_human	C01_S25_human	572	799202	0.000715714	9
A07_S7_human	A01_S1_human	1847	1033410	0.00178729	12
A07_S7_human	A08_S8_human	1587	863174	0.00183856	7
A07_S7_human	B07_S19_human	0	666595	0	0
A07_S7_human	B08_S20_human	1428	1146158	0.0012459	7
A07_S7_human	A05_S5_human	2297	1083571	0.00211984	14
A07_S7_human	A11_S11_human	1198	789770	0.0015169	6
A07_S7_human	B12_S24_human	2336	1209666	0.00193111	16
A07_S7_human	A04_S4_human	805	910999	0.000883645	6
A07_S7_human	B10_S22_human	1379	921366	0.00149669	9
A07_S7_human	C07_S31_human	0	668494	0	0
A07_S7_human	C11_S35_human	0	665561	0	0
C04_S28_human	A10_S10_human	0	165851	0	0
C04_S28_human	A12_S12_human	0	267911	0	0
C04_S28_human	C01_S25_human	0	135464	0	0
C04_S28_human	A01_S1_human	0	370947	0	0
C04_S28_human	A08_S8_human	0	200451	0	0
C04_S28_human	B07_S19_human	0	2285	0	0
C04_S28_human	B08_S20_human	0	483276	0	0
C04_S28_human	A05_S5_human	0	421558	0	0
C04_S28_human	A11_S11_human	0	126658	0	0
C04_S28_human	B12_S24_human	0	547692	0	0
C04_S28_human	A04_S4_human	0	247494	0	0
C04_S28_human	B10_S22_human	0	258435	0	0
C04_S28_human	C07_S31_human	0	4184	0	0
C04_S28_human	C11_S35_human	0	1251	0	0
A10_S10_human	A12_S12_human	7939	425823	0.0186439	47
A10_S10_human	C01_S25_human	92	301223	0.000305422	2
A10_S10_human	A01_S1_human	5795	531003	0.0109133	27
A10_S10_human	A08_S8_human	4665	361637	0.0128997	39
A10_S10_human	B07_S19_human	0	168136	0	0
A10_S10_human	B08_S20_human	4839	644288	0.00751062	19
A10_S10_human	A05_S5_human	8173	579236	0.01411	47
A10_S10_human	A11_S11_human	3601	288908	0.0124642	17
A10_S10_human	B12_S24_human	8177	705366	0.0115926	41
A10_S10_human	A04_S4_human	4072	409273	0.00994935	27
A10_S10_human	B10_S22_human	4913	419373	0.0117151	29
A10_S10_human	C07_S31_human	0	170035	0	0
A10_S10_human	C11_S35_human	0	167102	0	0
A12_S12_human	C01_S25_human	525	402850	0.00130321	5
A12_S12_human	A01_S1_human	11708	627150	0.0186686	53
A12_S12_human	A08_S8_human	8295	460067	0.01803	42
A12_S12_human	B07_S19_human	0	270196	0	0
A12_S12_human	B08_S20_human	15825	735362	0.02152	61
A12_S12_human	A05_S5_human	19153	670316	0.0285731	97
A12_S12_human	A11_S11_human	4454	390115	0.0114171	21
A12_S12_human	B12_S24_human	16904	798699	0.0211644	73
