species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,17357,10976,12901,8894,11943,10275,10982
Staphylococcus aureus,9610,5659,8439,6663,12054,11138,10987
Listeria monocytogenes,8955,5442,7749,7006,12081,10731,10984
Enterococcus faecalis,13096,8100,11417,8309,11603,10649,10675
Limosilactobacillus fermentum,6608,3462,4674,5581,8114,6834,7761
Salmonella enterica,23278,13215,15252,10462,14004,12444,13502
Escherichia coli,13751,10536,8945,6684,8201,5855,7229
Pseudomonas aeruginosa,8688,5452,4605,4837,7826,5950,7723
Cryptococcus neoformans,2712,1357,2179,1600,1339,1112,1241
Saccharomyces cerevisiae,1917,1494,1556,1067,1421,1204,1308
