species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40566,35214,35243,29389,35654,33996,36933
Bacillus subtilis,4635,5869,6848,3300,1929,3041,3503
Bacillus inaquosorum,148,179,151,116,122,108,138
Bacillus vallismortis,150,175,156,60,114,98,122
Bacillus halotolerans,71,66,48,NA,NA,60,87
Bacillus tequilensis,36,27,41,35,30,26,41
Bacillus atrophaeus,28,26,26,20,27,30,28
Bacillus rugosus,58,59,61,38,38,54,52
Bacillus cabrialesii,39,30,30,NA,31,33,35
Staphylococcus aureus,24371,19823,25351,24451,36357,37117,38336
Staphylococcus argenteus,40,23,43,41,51,63,34
Listeria monocytogenes,23596,19652,24633,26672,36595,36997,39115
Listeria innocua,271,168,219,304,351,476,335
Listeria welshimeri,54,35,52,29,64,58,53
Listeria swaminathanii,51,37,72,74,90,81,66
Listeria seeligeri,32,NA,28,NA,44,37,26
Listeria ivanovii,25,22,78,28,147,94,137
Enterococcus faecalis,34208,29229,35592,31119,35687,36407,38140
Limosilactobacillus fermentum,16786,13648,15970,19469,27302,25478,30076
Salmonella enterica,50909,52304,46089,34113,41857,40035,46501
Salmonella bongori,69,198,50,23,140,368,22
Escherichia coli,42358,38543,35296,26020,31302,26277,32175
Escherichia albertii,90,59,63,47,51,41,39
Escherichia marmotae,56,30,33,28,NA,NA,29
Escherichia sp. E4742,44,32,37,NA,NA,NA,NA
Escherichia fergusonii,79,40,52,32,37,36,35
Shigella flexneri,1737,1815,1464,1136,NA,2170,863
Shigella dysenteriae,180,229,203,196,NA,NA,160
Shigella boydii,276,256,NA,NA,315,NA,NA
Klebsiella pneumoniae,98,67,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,22209,22068,17004,16016,27328,24498,30883
Cryptococcus neoformans,7684,5781,8452,6270,5011,4524,5243
Cryptococcus tetragattii,38,36,49,NA,NA,NA,NA
Saccharomyces cerevisiae,5637,6276,5634,4602,5143,5057,5502
Saccharomyces paradoxus,28,41,47,27,38,32,44
Homo sapiens,40,33,52,32,54,64,59
