species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41369,36348,35986,30639,33794,33342,37382
Bacillus velezensis,230,246,157,209,295,106,383
Bacillus amyloliquefaciens,27,NA,17,19,93,36,168
Bacillus siamensis,3,NA,NA,NA,3,4,NA
Bacillus subtilis,4160,4327,6682,2495,1341,3203,2821
Bacillus inaquosorum,157,190,167,124,133,118,143
Bacillus halotolerans,70,71,60,59,42,68,73
Bacillus mojavensis,20,27,17,12,18,37,20
Bacillus vallismortis,144,187,169,64,126,127,130
Bacillus tequilensis,36,31,46,34,31,28,41
Bacillus atrophaeus,33,30,30,24,29,35,31
Bacillus stercoris,24,33,15,9,17,28,32
Bacillus paralicheniformis,7,6,2,6,1804,NA,3
Bacillus sp. PPSBB_11,87,122,31,57,253,71,137
Bacillus sp. FSL R5-0523,13,3,11,NA,6,13,NA
Bacillus sp. PS196,34,14,NA,NA,NA,16,NA
Bacillus sp. DX3.1,3,NA,NA,NA,NA,2,NA
Bacillus sp. T3,2,NA,1,NA,1,2,NA
Bacillus sp. FSL K6-1003,6,NA,NA,NA,NA,4,7
Bacillus sp. FSL R5-0560,3,3,2,4,NA,3,NA
Bacillus sp. FSL M8-0071,12,30,NA,NA,12,17,NA
Bacillus sp. 1NLA3E,1,NA,NA,NA,NA,2,NA
Bacillus sp. Cs-700,1,1,NA,NA,NA,NA,NA
Bacillus sp. WR11,385,NA,NA,NA,389,1124,NA
Bacillus sp. HNA3,199,NA,163,NA,NA,NA,1126
Bacillus sp. SG20032,16,39,26,NA,NA,22,NA
Bacillus sp. FSL K6-1012,5,6,NA,8,5,NA,NA
Bacillus sp. OxB-1,1,NA,NA,NA,1,NA,NA
Bacillus sp. JS,4,10,14,6,4,18,27
Bacillus sp. NEB1478,1,NA,NA,NA,1,NA,NA
Bacillus sp. SCS-153A,1,NA,NA,NA,NA,NA,NA
Bacillus sp. MD-5,4,9,6,NA,4,NA,10
Bacillus sp. MBGLi79,4,11,23,6,4,19,18
Bacillus cereus,165,260,164,161,305,119,289
Bacillus thuringiensis,6,22,1,380,5,3,NA
Bacillus toyonensis,2,2,NA,NA,NA,NA,NA
Bacillus albus,7,NA,NA,NA,NA,NA,NA
Bacillus mycoides,1,11,5,3,3,5,1
Bacillus rugosus,61,63,65,48,38,59,55
Bacillus cabrialesii,41,33,36,17,32,37,38
Bacillus pumilus,6,4,4,1,4,1,8
Bacillus swezeyi,3,2,NA,2,2,3,2
Bacillus fonticola,3,1,NA,1,2,NA,NA
Bacillus safensis,3,9,6,5,NA,NA,5
Bacillus gobiensis,1,NA,1,1,1,1,3
Heyndrickxia coagulans,3,NA,NA,1,2,NA,NA
Heyndrickxia vini,1,NA,2,NA,1,NA,NA
Neobacillus sp. OS1-33,1,NA,1,1,NA,NA,NA
Neobacillus sp. DY30,1,NA,NA,1,1,NA,NA
Neobacillus mesonae,1,NA,NA,NA,NA,NA,NA
Priestia koreensis,1,NA,NA,NA,NA,NA,NA
Priestia megaterium,2,1,1,4,2,1,7
Peribacillus sp. B-H-3,1,NA,1,NA,NA,NA,NA
Peribacillus frigoritolerans,1,NA,2,NA,NA,NA,2
Niallia sp. RD1,1,1,1,NA,NA,NA,NA
Niallia circulans,1,NA,NA,1,NA,NA,NA
