species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,38830,33556,33631,26838,32179,30679,33409
Bacillus subtilis,5257,5481,7395,4153,4076,4462,5066
Bacillus velezensis,220,177,83,136,160,69,215
Bacillus vallismortis,122,134,142,63,101,93,104
Bacillus inaquosorum,129,136,122,83,105,86,106
Bacillus halotolerans,62,65,47,56,39,58,69
Bacillus mojavensis,17,20,13,NA,12,20,16
Bacillus stercoris,132,88,114,87,97,122,119
Bacillus tequilensis,41,33,46,45,38,30,53
Bacillus atrophaeus,28,28,24,18,20,25,24
Bacillus rugosus,55,51,48,27,32,47,41
Bacillus cabrialesii,35,28,27,14,27,27,26
Bacillus sp. wens01,29,NA,NA,NA,25,NA,42
Staphylococcus aureus,26477,19360,25431,24029,36811,37603,38483
Staphylococcus argenteus,18,16,28,28,30,36,21
Staphylococcus schweitzeri,15,13,20,9,22,34,24
Staphylococcus saprophyticus,13,6,15,9,26,27,14
Staphylococcus epidermidis,9,7,7,NA,18,14,9
Staphylococcus simiae,8,5,5,NA,12,8,12
Staphylococcus pseudintermedius,7,11,7,5,14,21,12
Staphylococcus hominis,6,NA,NA,NA,NA,NA,6
Staphylococcus saccharolyticus,5,NA,7,NA,NA,NA,NA
Staphylococcus warneri,5,NA,NA,NA,NA,NA,NA
Listeria monocytogenes,22866,19056,23447,24941,35129,35292,37107
Listeria innocua,148,103,157,138,196,199,184
Listeria welshimeri,50,28,46,27,59,50,49
Listeria swaminathanii,46,29,65,63,76,57,56
Listeria seeligeri,23,15,25,20,35,38,22
Listeria ivanovii,20,16,22,26,45,40,39
Paenibacillus sp. FSL W8-0194,12,12,9,NA,NA,NA,7
Enterococcus faecalis,33232,27777,35924,29724,34570,34875,36643
Enterococcus sp. 9D6_DIV0238,8,8,6,NA,5,6,11
Enterococcus silesiacus,8,NA,NA,5,NA,NA,NA
Enterococcus rotai,7,NA,NA,NA,NA,NA,6
Enterococcus faecium,7,8,60,38,32,36,58
Limosilactobacillus fermentum,16565,13126,15565,18926,26813,24586,29204
Lactiplantibacillus plantarum,6,NA,5,NA,NA,7,11
Salmonella enterica,49035,45392,43200,31289,40735,38293,39714
Salmonella bongori,45,161,37,22,109,145,19
Salmonella sp. WGH-01,41,29,43,7,19,20,31
Escherichia coli,33109,37594,28219,20675,23295,18910,25065
Escherichia albertii,71,47,55,37,45,29,28
Escherichia sp. E4742,34,12,26,9,8,10,12
Escherichia fergusonii,43,26,32,29,25,22,30
Escherichia marmotae,36,21,23,22,14,11,20
Shigella flexneri,928,381,348,314,321,1583,241
Shigella dysenteriae,141,108,131,107,71,72,112
Shigella boydii,254,170,177,125,209,141,199
Shigella sonnei,81,424,36,50,35,93,41
Klebsiella pneumoniae,134,101,88,150,83,61,158
Klebsiella aerogenes,11,NA,7,NA,NA,NA,NA
Citrobacter werkmanii,34,NA,NA,NA,NA,NA,NA
Citrobacter sp. RHB25-C09,9,NA,5,29,NA,NA,NA
Citrobacter rodentium,6,NA,NA,NA,36,NA,NA
Citrobacter koseri,28,NA,10,NA,NA,NA,NA
Enterobacter cancerogenus,5,NA,NA,NA,NA,NA,NA
Enterobacter asburiae,21,NA,NA,NA,NA,NA,NA
Cronobacter sakazakii,7,NA,NA,NA,NA,NA,NA
Superficieibacter sp. HKU1,5,NA,7,NA,NA,NA,NA
Pseudomonas aeruginosa,23461,20145,16036,15131,26502,22414,32345
Pseudomonas fluorescens,8,NA,NA,NA,NA,7,NA
Pseudomonas chlororaphis,6,NA,NA,NA,NA,9,NA
Ralstonia solanacearum,8,15,NA,NA,NA,10,7
uncultured bacterium,46,39,37,50,56,45,54
Cryptococcus neoformans,7448,5449,8024,5881,4755,4223,4906
Cryptococcus deuterogattii,10,NA,8,NA,NA,NA,NA
Saccharomyces cerevisiae,6781,7530,6574,6184,5992,6814,5540
Saccharomyces paradoxus,74,59,67,33,58,50,51
Saccharomyces kudriavzevii,7,6,9,NA,7,9,NA
Saccharomyces eubayanus,6,NA,NA,NA,NA,NA,NA
uncultured Saccharomycetes,17,NA,NA,NA,NA,NA,NA
Homo sapiens,12,17,NA,17,22,22,19
Heterocephalus glaber,6,NA,11,NA,NA,NA,5
Equus caballus,5,NA,NA,NA,NA,NA,NA
Apteryx mantelli,6,NA,NA,NA,NA,NA,NA
Lactuca sativa,26,NA,NA,NA,NA,NA,NA
synthetic construct,20,NA,NA,NA,NA,NA,NA
