species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,8980,4598,5941,4086,5385,4143,4793
Bacillus inaquosorum,26,NA,9,NA,9,NA,NA
Bacillus subtilis,174,147,95,NA,83,395,NA
Bacillus vallismortis,11,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,5034,2515,4102,3015,5721,5072,4926
Listeria monocytogenes,4720,2343,3733,3074,5770,4736,4828
Listeria innocua,20,38,21,78,12,42,42
Listeria welshimeri,6,NA,NA,NA,NA,NA,NA
Enterococcus faecalis,6915,3559,5488,3675,5544,4777,4725
Limosilactobacillus fermentum,3593,1439,2140,2533,3601,2921,3350
Actinomyces oris,10,5,8,NA,8,NA,NA
Salmonella enterica,12271,5585,6862,5011,5976,5511,5912
Salmonella bongori,9,NA,7,NA,NA,NA,NA
Escherichia coli,6470,4406,3669,2842,3996,2251,2807
Escherichia albertii,9,NA,6,NA,NA,NA,NA
Shigella flexneri,884,NA,461,NA,NA,NA,NA
Shigella dysenteriae,48,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,4728,2186,2046,2318,3413,2435,3170
Cryptococcus neoformans,1399,552,900,734,564,457,525
Saccharomyces cerevisiae,937,629,704,443,645,495,506
Saccharomyces paradoxus,7,NA,NA,NA,NA,NA,NA
Juglans regia,6,6,NA,NA,NA,NA,NA
