species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Cryptococcus neoformans,7971,6088,8995,6574,5151,4749,5466
Cryptococcus gattii VGI,70,37,46,39,32,29,33
Cryptococcus gattii VGII,35,29,58,17,15,13,16
Cryptococcus gattii VGIV,6,4,4,3,4,3,5
Cryptococcus gattii VGIII,4,2,6,3,1,1,2
Kwoniella bestiolae,5,2,4,5,4,5,2
Kwoniella heveanensis,1,2,3,3,NA,2,NA
Tremella mesenterica,3,2,4,3,2,2,3
Naganishia albida,1,5,1,1,2,2,4
Coprinopsis cinerea,1,NA,2,NA,1,NA,NA
Phanerodontia chrysosporium,1,NA,1,1,1,NA,3
Malassezia restricta,4,NA,1,1,2,1,2
Sporisorium reilianum,2,1,1,NA,3,NA,2
Melampsora laricis-populina,5,3,6,2,8,4,6
Saccharomyces cerevisiae,5674,6339,5748,4674,5129,5063,5477
Nakaseomyces glabratus,3,4,9,2,10,5,10
Clavispora lusitaniae,14,6,6,5,10,6,6
[Candida] auris,4,2,1,NA,3,NA,2
[Candida] duobushaemulonis,1,2,4,3,2,4,1
Candida tropicalis,6,6,4,5,5,5,6
Candida parapsilosis,2,1,2,1,3,1,2
Candida albicans,2,NA,1,2,6,1,3
Yarrowia lipolytica,1,1,1,1,1,1,1
Coccidioides posadasii,18,10,13,7,12,10,7
Coccidioides immitis,18,13,4,5,11,10,10
Amauroascus niger,8,2,5,NA,2,2,3
Byssoonygena ceratinophila,6,8,5,12,7,8,8
Chrysosporium queenslandicum,5,NA,1,2,3,1,3
Uncinocarpus reesii,3,NA,2,NA,NA,1,2
Histoplasma capsulatum,5,6,6,4,12,5,5
Histoplasma mississippiense (nom. inval.),2,1,NA,3,1,1,NA
Paracoccidioides lutzii,2,2,2,1,NA,NA,7
Aspergillus steynii,4,2,2,1,1,3,2
Aspergillus niger,2,7,4,3,3,NA,5
Aspergillus aculeatus,2,4,NA,1,1,1,2
Aspergillus terreus,1,NA,1,2,NA,NA,NA
Aspergillus flavus,3,NA,NA,NA,NA,NA,NA
Aspergillus clavatus,6,6,3,NA,5,6,4
Aspergillus fumigatus,2,1,1,1,1,NA,1
Aspergillus novofumigatus,4,4,2,5,1,3,2
Aspergillus sydowii,2,4,NA,NA,2,2,NA
Aspergillus nidulans,1,NA,NA,NA,NA,3,1
Aspergillus campestris,2,1,1,NA,NA,2,NA
Aspergillus carbonarius,2,1,1,2,NA,1,NA
Aspergillus tubingensis,2,3,NA,NA,1,NA,1
Aspergillus wentii,1,2,1,NA,3,NA,NA
Aspergillus luchuensis,1,1,2,1,2,NA,NA
Aspergillus brasiliensis,1,NA,1,3,2,4,3
Penicilliopsis zonata,1,2,1,2,1,2,3
