species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,29310,22702,25047,18406,23940,20649,23709
Bacillus halotolerans,68,47,32,NA,NA,NA,NA
Bacillus subtilis,1840,2153,1315,1275,674,1887,977
Bacillus inaquosorum,85,55,60,51,69,45,53
Bacillus vallismortis,35,38,40,13,36,33,39
Bacillus atrophaeus,9,NA,11,8,6,NA,6
Bacillus tequilensis,10,9,15,9,NA,NA,NA
Bacillus stercoris,48,NA,NA,NA,NA,56,NA
Bacillus cabrialesii,30,12,20,8,9,NA,20
Bacillus rugosus,34,14,33,12,16,23,25
Staphylococcus aureus,16868,12301,16633,14779,23640,23096,23666
Staphylococcus argenteus,17,13,15,13,14,14,13
Staphylococcus agnetis,8,6,5,NA,10,15,7
Listeria monocytogenes,16011,11755,15514,15563,23889,22574,23331
Listeria innocua,64,58,86,93,46,95,117
Listeria seeligeri,16,36,NA,NA,12,14,NA
Listeria welshimeri,12,NA,NA,10,12,11,13
Listeria swaminathanii,13,13,26,34,19,11,17
Paenibacillus sp. FSL W8-0194,5,8,NA,NA,NA,NA,NA
Enterococcus faecalis,23737,17913,23102,18671,23123,22915,23616
Candidatus Enterococcus dunnyi,6,NA,NA,NA,NA,5,NA
Limosilactobacillus fermentum,11742,8104,9929,12053,17238,15359,18024
Actinomyces oris,16,10,16,6,11,7,7
Salmonella enterica,40221,30534,31326,22801,29295,27502,31261
Salmonella bongori,19,8,19,NA,NA,11,NA
Escherichia coli,24191,24002,18956,13888,16350,12614,16362
Escherichia sp. E4742,11,NA,13,NA,NA,NA,NA
Escherichia albertii,14,16,15,16,11,NA,11
Escherichia fergusonii,16,10,11,146,NA,NA,NA
Escherichia marmotae,8,7,NA,NA,NA,7,NA
Shigella flexneri,1758,886,1434,331,944,1724,NA
Shigella dysenteriae,143,NA,NA,87,NA,NA,NA
Klebsiella pneumoniae,45,58,46,NA,NA,NA,NA
Pseudomonas aeruginosa,15193,12852,10145,9905,16823,14095,18087
Neptuniibacter halophilus,40,79,22,45,48,52,72
Cryptococcus neoformans,5145,3262,4956,3649,3020,2614,2993
Cryptococcus tetragattii,26,16,27,NA,11,NA,8
Saccharomyces cerevisiae,3636,3577,3459,2512,3039,2870,3100
Saccharomyces paradoxus,21,17,29,16,23,13,23
Saccharomyces mikatae,5,NA,5,NA,5,5,7
Homo sapiens,17,18,24,20,35,36,49
Juglans regia,20,28,9,11,25,14,28
Actinidia eriantha,8,NA,NA,NA,NA,NA,NA
