species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,11232,6069,7694,5210,7075,5506,6200
Bacillus inaquosorum,39,9,19,NA,15,9,10
Bacillus subtilis,298,244,114,79,118,451,86
Bacillus vallismortis,14,8,7,7,12,7,7
Bacillus stercoris,32,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,6342,3331,5213,3846,7400,6633,6374
Listeria monocytogenes,6077,3115,4830,4190,7507,6277,6409
Listeria innocua,22,52,35,16,17,42,31
Listeria welshimeri,8,NA,NA,NA,6,NA,7
Enterococcus faecalis,8790,4726,7133,4797,7153,6238,6186
Limosilactobacillus fermentum,4519,1912,2811,3271,4789,3851,4407
Actinomyces oris,17,8,12,NA,11,7,NA
Salmonella enterica,15756,7543,8729,6220,8245,7295,7986
Salmonella bongori,9,NA,9,NA,NA,NA,NA
Escherichia coli,8056,5683,4966,3508,5052,3044,3733
Escherichia albertii,13,6,7,NA,NA,NA,NA
Escherichia fergusonii,11,NA,NA,NA,NA,NA,NA
Escherichia marmotae,7,NA,NA,NA,NA,NA,NA
Shigella flexneri,953,NA,740,549,NA,NA,NA
Shigella dysenteriae,48,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,5790,2966,2602,2923,4499,3239,4315
Pseudomonas sp. CIP-10,161,NA,87,57,48,50,NA
Burkholderia multivorans,6,NA,NA,NA,NA,NA,NA
