species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40228,35215,34425,29341,34637,32396,36045
Bacillus velezensis,201,253,139,NA,471,NA,412
Bacillus subtilis,4194,4580,6602,2387,1820,3478,3017
Bacillus inaquosorum,135,170,146,109,119,108,121
Bacillus vallismortis,128,166,157,55,122,115,105
Bacillus halotolerans,67,67,48,53,60,67,76
Bacillus tequilensis,35,28,39,33,30,27,40
Bacillus atrophaeus,29,26,25,19,27,28,26
Bacillus rugosus,55,59,56,35,36,54,46
Bacillus cabrialesii,37,29,28,14,30,30,32
Staphylococcus aureus,24159,19457,24922,23779,35746,36359,37593
Staphylococcus argenteus,39,23,42,42,52,62,33
Staphylococcus schweitzeri,20,15,28,18,32,37,40
Staphylococcus epidermidis,11,NA,10,NA,19,15,NA
Staphylococcus simiae,11,NA,15,NA,16,17,13
Listeria monocytogenes,23045,19249,24001,25986,36159,36195,37713
Listeria innocua,327,151,244,311,295,433,420
Listeria welshimeri,56,32,51,29,62,54,57
Listeria swaminathanii,55,34,74,76,81,77,68
Listeria seeligeri,34,20,31,18,40,37,28
Listeria ivanovii,25,21,102,27,120,89,188
Paenibacillus sp. FSL W8-0194,12,12,NA,NA,NA,NA,NA
Enterococcus faecalis,33674,28502,34858,30183,34938,35632,37259
Limosilactobacillus fermentum,16495,13280,15580,18914,26755,24758,29217
Actinomyces oris,26,29,29,15,26,18,21
Salmonella enterica,52612,49364,42353,33193,40752,39559,45845
Salmonella bongori,69,203,47,22,132,372,22
Escherichia coli,38449,38304,37706,24970,30200,24011,30593
Escherichia albertii,91,60,64,46,49,41,38
Escherichia marmotae,57,30,32,27,20,16,29
Escherichia sp. E4742,42,32,36,12,16,NA,21
Escherichia fergusonii,79,41,43,32,37,36,33
Shigella flexneri,2233,1743,886,1323,728,2572,816
Shigella dysenteriae,204,217,133,169,104,125,152
Shigella boydii,300,262,139,127,277,178,272
Klebsiella pneumoniae,105,67,50,85,37,51,63
Pseudomonas aeruginosa,21343,21207,16286,15056,26409,23617,29665
Pseudomonas sp. CIP-10,616,365,435,506,359,265,350
Burkholderia multivorans,31,25,22,18,23,15,14
Homo sapiens,55,36,52,32,57,66,61
