species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,14198,8258,10016,6964,9451,7493,8515
Bacillus inaquosorum,46,10,27,17,21,14,18
Bacillus subtilis,378,408,358,187,172,629,182
Bacillus vallismortis,18,11,11,NA,13,10,13
Bacillus atrophaeus,5,NA,6,NA,NA,NA,NA
Bacillus rugosus,13,NA,NA,NA,NA,7,NA
Bacillus cabrialesii,8,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,8083,4541,6899,5263,9825,8931,8724
Staphylococcus argenteus,9,NA,NA,8,8,NA,NA
Listeria monocytogenes,7555,4262,6331,5529,9924,8486,8697
Listeria innocua,26,29,36,25,19,42,35
Listeria welshimeri,6,NA,NA,NA,5,NA,7
Enterococcus faecalis,11007,6407,9280,6556,9447,8490,8502
Candidatus Enterococcus dunnyi,5,NA,NA,NA,NA,NA,NA
Limosilactobacillus fermentum,5594,2705,3735,4443,6485,5325,6102
Actinomyces oris,12,5,12,NA,9,NA,5
Salmonella enterica,19003,10310,11930,8276,10764,9866,10750
Salmonella bongori,9,NA,9,NA,NA,NA,NA
Escherichia coli,10963,8161,6603,5244,6947,4293,5364
Escherichia albertii,10,6,8,7,NA,NA,NA
Escherichia fergusonii,9,NA,NA,NA,NA,NA,NA
Shigella flexneri,1043,NA,858,NA,NA,NA,NA
Shigella dysenteriae,83,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,7322,4141,3643,3854,6171,4574,5935
Cryptococcus neoformans,2286,1053,1728,1278,1063,876,972
Cryptococcus tetragattii,10,NA,10,NA,NA,NA,NA
Saccharomyces cerevisiae,1583,1150,1251,838,1130,925,1013
Saccharomyces paradoxus,10,NA,8,5,9,NA,NA
Juglans regia,11,16,NA,NA,NA,NA,NA
