species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,29165,22481,24902,18152,23773,20283,22979
Bacillus halotolerans,67,46,31,19,21,12,20
Bacillus mojavensis,5,6,6,NA,10,18,13
Bacillus siamensis,8,NA,NA,NA,NA,NA,NA
Bacillus velezensis,34,NA,NA,42,69,NA,88
Bacillus amyloliquefaciens,18,NA,NA,NA,NA,41,563
Bacillus subtilis,1817,2103,1297,1232,664,1803,909
Bacillus inaquosorum,85,55,60,50,68,44,51
Bacillus vallismortis,35,37,40,13,36,33,38
Bacillus atrophaeus,9,3,11,8,6,3,5
Bacillus tequilensis,10,9,14,9,1,1,6
Bacillus stercoris,48,23,22,NA,9,53,24
Bacillus cereus,79,123,87,131,33,108,100
Bacillus sp. FSL R5-0560,15,NA,8,NA,NA,8,NA
Bacillus sp. FSL K6-1003,7,9,NA,NA,NA,8,19
Bacillus sp. FJAT-18017,1,NA,NA,NA,2,NA,NA
Bacillus sp. MD-5,11,NA,NA,NA,10,NA,NA
Bacillus sp. FSL R5-0523,9,NA,NA,NA,9,NA,NA
Bacillus cabrialesii,30,12,20,8,9,6,19
Bacillus rugosus,34,14,32,12,16,23,24
Bacillus glycinifermentans,2,NA,NA,NA,NA,NA,NA
Cytobacillus gottheilii,1,1,2,NA,NA,1,NA
Priestia koreensis,1,NA,NA,NA,NA,NA,NA
Niallia taxi,1,NA,NA,NA,NA,NA,NA
Rossellomorea marisflavi,1,NA,1,NA,NA,NA,NA
Halobacillus amylolyticus,1,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,16581,12133,16337,14770,23631,23070,21319
Staphylococcus sp. MZ8,286,NA,302,NA,NA,NA,308
Staphylococcus argenteus,17,13,15,13,14,14,12
Staphylococcus agnetis,8,6,5,3,10,15,7
Staphylococcus schweitzeri,4,1,6,3,9,14,9
Staphylococcus epidermidis,2,2,2,2,3,7,NA
Staphylococcus simiae,2,1,2,NA,1,4,NA
Staphylococcus simulans,2,2,3,NA,2,2,1
Staphylococcus warneri,3,2,NA,2,NA,2,4
Staphylococcus kloosii,1,NA,NA,NA,NA,NA,NA
Staphylococcus arlettae,1,NA,NA,NA,NA,1,1
Staphylococcus chromogenes,1,NA,NA,1,NA,1,NA
Staphylococcus massiliensis,1,NA,NA,NA,NA,NA,NA
Staphylococcus pasteuri,1,NA,1,1,NA,NA,1
Staphylococcus gallinarum,1,NA,NA,NA,NA,1,NA
Staphylococcus croceilyticus,8,NA,NA,NA,NA,NA,NA
Listeria monocytogenes,16008,11751,15493,15517,23886,22569,23315
Listeria innocua,64,58,86,93,46,95,117
Listeria seeligeri,16,36,21,45,12,14,5
Listeria welshimeri,12,6,4,10,12,11,13
Listeria swaminathanii,13,13,26,34,19,11,17
Listeria ivanovii,4,9,7,6,5,6,8
Paenibacillus sp. FSL W8-0194,5,8,3,2,1,NA,4
Paenibacillus sp. FSL R7-0331,1,NA,NA,NA,NA,NA,NA
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,2,1,NA,1,NA,1,1
Sporosarcina ureilytica,1,NA,NA,NA,3,1,1
Enterococcus faecalis,23724,17904,23078,18665,23119,22908,23579
Candidatus Enterococcus dunnyi,6,2,NA,2,3,5,3
Enterococcus raffinosus,2,1,2,3,4,2,3
Enterococcus cecorum,2,NA,3,3,2,1,NA
Enterococcus saccharolyticus,2,NA,NA,NA,NA,NA,NA
Enterococcus sp. DIV0849a,1,NA,NA,1,NA,2,1
Enterococcus durans,1,1,1,NA,2,1,1
Enterococcus rotai,1,NA,NA,NA,NA,1,1
Candidatus Enterococcus clewellii,1,NA,NA,NA,NA,NA,NA
Candidatus Enterococcus lemimoniae,1,NA,NA,NA,NA,1,NA
Enterococcus faecium,5,6,NA,NA,NA,NA,NA
Vagococcus lutrae,1,1,NA,NA,NA,1,NA
Limosilactobacillus fermentum,11740,8102,9927,12050,17236,15356,18012
Limosilactobacillus mucosae,1,NA,NA,NA,3,NA,1
Lactiplantibacillus plantarum,4,NA,2,1,1,2,3
Loigolactobacillus bifermentans,1,1,NA,2,NA,2,NA
Pediococcus pentosaceus,1,NA,NA,NA,NA,NA,NA
Ligilactobacillus agilis,1,NA,NA,NA,NA,NA,NA
Nicoliella spurrieriana,1,NA,NA,NA,NA,NA,NA
Carnobacterium viridans,1,NA,1,NA,1,1,NA
Clostridioides difficile,7,NA,NA,NA,NA,NA,NA
Clostridium kluyveri,2,1,3,NA,NA,1,NA
Clostridium baratii,1,NA,NA,NA,NA,NA,NA
Hungatella hathewayi,1,NA,NA,NA,NA,NA,NA
Aedoeadaptatus ivorii,1,NA,NA,NA,NA,NA,NA
Phascolarctobacterium sp. Marseille-Q4147,1,1,NA,NA,NA,NA,1
Actinomyces oris,15,10,16,5,11,7,7
Corynebacterium guangdongense,1,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,2,NA,NA,NA,NA,NA,NA
Tsukamurella tyrosinosolvens,1,NA,NA,NA,NA,NA,NA
Streptomyces sp. SCUT-3,1,NA,NA,NA,NA,NA,NA
Streptomyces sp. SirexAA-E,1,NA,NA,NA,NA,NA,NA
Streptacidiphilus sp. PB12-B1b,1,NA,NA,NA,NA,NA,NA
Rathayibacter tanaceti,2,NA,NA,NA,NA,1,NA
Saccharopolyspora gloriosae,1,NA,NA,NA,NA,NA,NA
Aquihabitans sp. G128,1,NA,NA,NA,NA,NA,NA
Prochlorococcus sp. MIT 0604,1,NA,NA,NA,NA,NA,NA
Salmonella enterica,40051,30474,31259,22723,29205,27276,30951
Salmonella sp. SSDFZ54,143,NA,NA,NA,NA,NA,NA
Salmonella sp. HY31,9,NA,NA,NA,11,NA,NA
Salmonella bongori,19,8,19,3,6,11,6
Escherichia coli,24056,23866,18862,13765,16221,12410,16073
Escherichia sp. E4742,10,6,13,1,5,2,6
Escherichia sp. KS167_9B,32,NA,NA,NA,NA,NA,NA
Escherichia sp. F1,18,NA,NA,NA,22,NA,NA
Escherichia albertii,13,16,15,16,11,5,10
Escherichia fergusonii,16,10,11,145,7,6,6
Escherichia marmotae,8,7,2,3,1,7,1
Shigella flexneri,1748,881,1426,328,936,1695,218
Shigella dysenteriae,142,27,56,86,46,31,38
Shigella boydii,81,116,58,182,130,100,121
