species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40167,34664,35071,28763,34472,33459,35719
Bacillus velezensis,251,235,154,174,364,103,355
Bacillus amyloliquefaciens,37,NA,16,20,113,121,170
Bacillus siamensis,3,NA,NA,NA,3,3,NA
Bacillus subtilis,4206,5035,6443,2844,1548,2752,2773
Bacillus inaquosorum,146,176,150,114,120,107,134
Bacillus halotolerans,67,59,46,50,46,56,73
Bacillus mojavensis,21,25,14,12,18,31,21
Bacillus vallismortis,150,174,155,60,112,97,121
Bacillus tequilensis,36,27,41,34,29,26,40
Bacillus atrophaeus,28,26,26,20,27,29,28
Bacillus stercoris,26,30,12,10,16,20,29
Bacillus paralicheniformis,8,5,2,7,9,NA,3
Bacillus sp. PPSBB_11,55,124,10,77,187,30,73
Bacillus sp. FSL R5-0523,10,3,11,NA,8,11,NA
Bacillus sp. PS196,37,12,NA,NA,NA,13,NA
Bacillus sp. DX3.1,2,NA,NA,NA,NA,1,NA
Bacillus sp. T3,2,NA,1,NA,1,1,NA
Bacillus sp. SG20032,17,17,26,NA,NA,19,NA
Bacillus sp. FSL M8-0071,13,27,NA,NA,15,15,NA
Bacillus sp. OxB-1,1,NA,NA,NA,1,NA,NA
Bacillus sp. JS,4,9,10,6,5,16,22
Bacillus sp. SCS-153A,1,NA,NA,NA,NA,NA,NA
Bacillus sp. NEB1478,1,NA,NA,NA,NA,NA,NA
Bacillus sp. MD-5,4,8,6,NA,5,NA,10
Bacillus sp. HNA3,220,NA,160,NA,NA,NA,904
Bacillus sp. FSL R5-0560,3,3,2,4,NA,3,NA
Bacillus sp. PAMC26543,6,NA,9,8,NA,7,8
Bacillus sp. FSL K6-1012,6,12,NA,8,7,NA,NA
Bacillus sp. FSL K6-1003,3,NA,NA,NA,NA,3,4
Bacillus sp. MBGLi79,5,10,23,6,5,11,19
Bacillus cereus,180,220,159,147,381,112,308
Bacillus thuringiensis,6,6,1,12,6,3,NA
Bacillus albus,7,NA,NA,NA,NA,NA,NA
Bacillus mycoides,1,1,NA,3,NA,NA,1
Bacillus rugosus,57,57,60,37,37,53,49
Bacillus cabrialesii,39,30,30,15,30,32,33
Bacillus pumilus,6,4,4,1,5,NA,8
Bacillus swezeyi,3,2,NA,2,2,3,2
Bacillus fonticola,3,1,NA,1,2,NA,NA
Bacillus safensis,4,8,6,NA,NA,NA,NA
Bacillus gobiensis,1,NA,1,NA,1,1,3
Heyndrickxia coagulans,2,NA,NA,1,2,NA,NA
Priestia koreensis,1,NA,NA,NA,NA,NA,NA
Priestia megaterium,1,NA,NA,3,2,1,6
Rossellomorea sp. FM04394,1,NA,1,NA,NA,1,1
Rossellomorea marisflavi,1,NA,NA,NA,NA,NA,NA
Peribacillus frigoritolerans,1,NA,2,NA,NA,NA,NA
Niallia sp. RD1,1,1,1,NA,NA,NA,NA
Ornithinibacillus sp. FSL M8-0202,1,NA,NA,NA,NA,NA,NA
Halalkalibacter krulwichiae,1,NA,NA,NA,NA,NA,1
Cytobacillus kochii,1,NA,NA,NA,NA,NA,NA
Neobacillus sp. DY30,1,NA,NA,1,1,NA,NA
Virgibacillus sp. SK37,1,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,24121,19207,24576,24198,34813,35733,36600
Staphylococcus sp. MZ8,245,195,296,234,623,97,638
Staphylococcus argenteus,40,23,43,41,51,63,34
