species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,6323,3377,4252,2413,3888,3186,3297
Bacillus inaquosorum,13,3,6,1,6,6,3
Bacillus vallismortis,10,4,5,2,1,2,2
Bacillus subtilis,140,93,105,27,22,103,67
Bacillus stercoris,34,NA,7,NA,7,13,15
Bacillus atrophaeus,1,NA,1,1,NA,NA,1
Bacillus sp. FSL R5-0560,6,NA,NA,NA,NA,NA,NA
Bacillus sp. THAF10,1,NA,2,NA,1,1,NA
Bacillus rugosus,3,3,NA,NA,1,3,NA
Bacillus cabrialesii,1,NA,NA,NA,NA,NA,3
Staphylococcus aureus,3671,1874,2893,2187,4158,3611,3611
Staphylococcus agnetis,4,NA,2,NA,1,2,1
Staphylococcus argenteus,2,NA,1,7,6,1,NA
Staphylococcus schweitzeri,1,NA,NA,1,NA,NA,4
Staphylococcus massiliensis,1,NA,NA,NA,NA,NA,NA
Staphylococcus simiae,1,NA,NA,NA,1,NA,NA
Staphylococcus kloosii,1,NA,NA,NA,NA,NA,NA
Staphylococcus epidermidis,1,NA,1,NA,NA,NA,NA
Listeria monocytogenes,3280,1666,2647,2216,4271,3464,3625
Listeria swaminathanii,24,12,1,11,2,2,1
Listeria welshimeri,13,6,3,NA,2,4,5
Listeria innocua,13,38,10,49,3,15,9
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Enterococcus faecalis,4989,2635,3909,2756,3994,3556,3495
Enterococcus sp. DIV0849a,1,NA,NA,1,NA,1,1
Enterococcus sp. 12C11_DIV0727,1,NA,NA,NA,NA,NA,NA
Enterococcus raffinosus,1,NA,NA,NA,NA,NA,1
Vagococcus lutrae,1,1,NA,NA,NA,1,NA
Limosilactobacillus fermentum,2442,1108,1570,1859,2598,2167,2396
Lactiplantibacillus plantarum,3,NA,1,1,NA,2,2
Pediococcus pentosaceus,1,NA,NA,NA,NA,NA,NA
Nicoliella spurrieriana,1,NA,NA,NA,NA,NA,NA
Clostridioides difficile,4,NA,NA,NA,NA,NA,NA
Paludicola sp. MB14-C6,1,NA,NA,NA,NA,NA,NA
Actinomyces oris,3,2,4,2,2,NA,2
Bifidobacterium sp. ESL0790,1,NA,NA,NA,NA,NA,1
Salmonella enterica,9302,4614,5958,3513,4680,3907,4462
Salmonella bongori,3,NA,1,1,NA,NA,NA
Escherichia coli,4241,2612,1895,2145,2443,1816,1923
Escherichia sp. E4742,2,NA,4,NA,1,NA,NA
Escherichia marmotae,2,NA,NA,NA,NA,NA,1
Escherichia albertii,2,1,1,NA,1,NA,1
Escherichia fergusonii,1,NA,1,NA,1,NA,NA
Shigella flexneri,344,NA,312,53,55,NA,61
Shigella dysenteriae,40,13,NA,14,NA,NA,NA
Shigella boydii,28,NA,NA,62,31,NA,35
Klebsiella michiganensis,2,2,NA,NA,NA,NA,2
Klebsiella pneumoniae,7,6,NA,NA,NA,8,NA
Klebsiella aerogenes,1,NA,NA,NA,NA,NA,NA
Citrobacter freundii,6,NA,NA,NA,NA,NA,NA
Citrobacter sp. R56,2,NA,NA,1,NA,NA,NA
Enterobacter asburiae,3,NA,1,2,NA,NA,NA
Enterobacter mori,1,NA,NA,NA,NA,NA,NA
Kluyvera sichuanensis,1,NA,NA,NA,NA,NA,NA
Kluyvera ascorbata,1,NA,NA,NA,NA,NA,NA
Yokenella regensburgei,2,NA,NA,NA,NA,NA,1
Scandinavium goeteborgense,1,NA,NA,NA,NA,NA,NA
Erwinia pyrifoliae,1,NA,NA,NA,1,NA,NA
Erwinia rhapontici,1,NA,NA,NA,NA,NA,NA
Dickeya dadantii,1,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,3324,1610,1481,1642,2509,1759,2336
Pseudomonas sp. NY8938,13,NA,NA,NA,NA,NA,NA
Pseudomonas sp. Marseille-Q3773,1,NA,NA,NA,NA,NA,NA
Pseudomonas cremoricolorata,1,NA,NA,NA,NA,NA,NA
Paraphotobacterium marinum,1,NA,NA,NA,NA,NA,NA
Sphaerochaeta associata,1,NA,NA,NA,NA,NA,NA
Cryptococcus neoformans,997,403,669,539,428,367,395
Cryptococcus tetragattii,2,NA,3,NA,NA,NA,1
Kwoniella newhampshirensis,1,NA,NA,NA,NA,NA,NA
Saccharomyces cerevisiae,677,464,521,335,466,369,391
Saccharomyces paradoxus,5,NA,3,3,2,1,NA
Rhizophagus irregularis,3,NA,NA,NA,NA,NA,NA
Salvia miltiorrhiza,2,NA,NA,NA,NA,NA,NA
Actinidia eriantha,1,NA,NA,NA,NA,NA,NA
Gossypium raimondii,1,NA,NA,NA,NA,NA,NA
Juglans regia,1,8,2,3,3,NA,1
Lolium perenne,1,NA,NA,NA,NA,NA,NA
Magnolia sinica,1,NA,NA,NA,NA,NA,NA
Papaver somniferum,1,NA,NA,NA,NA,NA,NA
